date	code	name	count	unlimit	limit	totalA	zyRatio
2018-08-17	000001	____	821	1152.97	0.00	1717041.14	0.07
2018-08-17	000002	___	107	92853.66	0.00	972419.65	9.55
2018-08-17	000004	____	1	839.76	0.00	8397.67	10.00
2018-08-17	000005	____	38	20768.14	5839.45	105853.68	25.14
2018-08-17	000006	____	10	9.06	0.00	134999.50	0.01
2018-08-17	000007	___	19	9.96	0.00	34644.80	0.03
2018-08-17	000008	____	124	44304.33	1559.48	281832.98	16.27
2018-08-17	000009	____	159	23323.59	0.00	214934.50	10.85
2018-08-17	000010	____	27	364.41	12706.07	81985.47	15.94
2018-08-17	000011	___A	34	8.91	0.00	52837.38	0.02
2018-08-17	000012	___	185	65.14	0.00	184825.24	0.04
2018-08-17	000014	____	29	64.74	0.00	20170.52	0.32
2018-08-17	000016	____	12	142.84	0.00	159659.38	0.09
2018-08-17	000017	___A	18	24.26	0.00	30298.50	0.08
2018-08-17	000018	____	78	1582.06	63534.01	143444.18	45.39
2018-08-17	000019	____	13	9.80	0.00	44503.30	0.02
2018-08-17	000020	___A	2	11610.00	0.00	18116.54	64.09
2018-08-17	000021	___	115	99.41	0.00	147125.94	0.07
2018-08-17	000022	____	9	2.72	0.00	46486.83	0.01
2018-08-17	000023	____	2	8.80	0.00	13875.62	0.06
2018-08-17	000025	___	14	4.48	0.00	27088.16	0.02
2018-08-17	000026	____	18	46.10	0.00	35709.69	0.13
2018-08-17	000027	____	112	84.72	0.00	396449.16	0.02
2018-08-17	000028	____	9	0.94	0.00	37324.14	0.00
2018-08-17	000029	____	10	9.58	0.00	89166.00	0.01
2018-08-17	000030	____	8	11754.43	0.00	176273.32	6.67
2018-08-17	000031	____	40	19.54	0.00	181373.16	0.01
2018-08-17	000032	____	16	9.71	0.00	42225.41	0.02
2018-08-17	000034	____	72	7044.96	26048.87	65407.04	50.60
2018-08-17	000035	____	34	48339.37	0.00	135152.14	35.77
2018-08-17	000036	____	112	150.49	0.00	114148.77	0.13
2018-08-17	000037	___A	40	11.62	0.00	33890.82	0.03
2018-08-17	000038	___	51	7980.38	27893.16	52277.74	68.62
2018-08-17	000039	____	56	71.41	0.00	126838.27	0.06
2018-08-17	000040	____	38	14217.97	27397.26	133717.33	31.12
2018-08-17	000042	____	14	18157.86	17683.46	66483.11	53.91
2018-08-17	000043	____	46	63.67	0.00	66696.14	0.10
2018-08-17	000045	____	35	24.86	0.00	46177.41	0.05
2018-08-17	000046	____	63	366247.85	9583.33	519620.07	72.33
2018-08-17	000048	*ST__	14	12400.59	0.00	39076.87	31.73
2018-08-17	000049	____	21	1.47	0.00	20524.37	0.01
2018-08-17	000050	____	232	3084.87	0.00	204812.31	1.51
2018-08-17	000055	____	22	3190.54	0.00	67971.55	4.69
2018-08-17	000056	____	45	2758.39	57010.93	93129.37	64.18
2018-08-17	000058	___	23	45.38	0.00	98919.49	0.05
2018-08-17	000059	____	71	43.67	0.00	159944.25	0.03
2018-08-17	000060	____	240	18140.43	0.00	356968.53	5.08
2018-08-17	000061	___	42	38.45	0.00	169696.41	0.02
2018-08-17	000062	____	40	10.76	0.00	72131.68	0.01
2018-08-17	000063	____	31	2.49	0.00	343716.93	0.00
2018-08-17	000065	____	108	20.04	0.00	76950.54	0.03
2018-08-17	000066	____	151	570.18	0.00	293616.56	0.19
2018-08-17	000068	____	53	28398.95	0.00	100667.15	28.21
2018-08-17	000069	____	69	90.27	11747.43	820408.14	1.44
2018-08-17	000070	____	59	85.05	1533.99	62699.47	2.58
2018-08-17	000078	____	47	45152.75	76419.39	264661.33	45.93
2018-08-17	000088	___	19	24.01	0.00	194220.00	0.01
2018-08-17	000089	____	8	3.59	0.00	205076.95	0.00
2018-08-17	000090	____	38	39.08	4628.10	143734.26	3.25
2018-08-17	000096	____	52	780.01	0.00	52800.00	1.48
2018-08-17	000099	____	9	59.36	0.00	60607.04	0.10
2018-08-17	000100	TCL__	300	142399.06	68742.00	1354964.85	15.58
2018-08-17	000150	____	22	22485.93	9300.20	62692.68	50.70
2018-08-17	000151	____	8	2.11	0.00	29598.00	0.01
2018-08-17	000153	____	21	73.94	0.00	31707.76	0.23
2018-08-17	000155	*ST__	64	14419.83	0.00	127000.00	11.35
2018-08-17	000156	____	184	31515.16	0.00	143335.19	21.99
2018-08-17	000157	____	93	55837.34	0.00	640584.10	8.72
2018-08-17	000158	____	104	38875.73	0.00	165287.50	23.52
2018-08-17	000159	____	25	12059.93	0.00	48113.93	25.07
2018-08-17	000166	____	237	19258.61	87218.92	2253594.46	4.72
2018-08-17	000301	____	27	69.01	0.00	121823.64	0.06
2018-08-17	000333	____	378	79987.70	0.00	664297.64	12.04
2018-08-17	000338	____	143	1630.88	0.00	605419.86	0.27
2018-08-17	000400	____	31	8.19	0.00	100832.73	0.01
2018-08-17	000401	____	152	17142.39	0.00	134752.29	12.72
2018-08-17	000402	___	57	120.23	0.00	298892.99	0.04
2018-08-17	000403	ST__	4	14339.42	0.00	27257.76	52.61
2018-08-17	000404	____	45	18.25	0.00	69599.60	0.03
2018-08-17	000407	____	66	17649.12	1430.00	88008.47	21.68
