code,name,industry,area,pe,outstanding,totals,esp,bvps,pb,timeToMarket,rev,profit,gpr,npr,tmpclose,pos2year,pos1year,pos6month,de2year,de1year,de6month,totalvalue,subvalue
600533,栖霞建设,区域地产,江苏,0,10.5,10.5,-0.012,3.57,0.83,20020328,-67.66,27.02,30.49,-7.28,2.95,0.01,0.01,0.02,0.58,0.54,0.36,30.98,30.98
600966,博汇纸业,造纸,山东,6.53,13.37,13.37,0.308,4.02,1,20040608,7.54,1.5,23.34,9.43,4.02,0.17,0.04,0.05,0.45,0.45,0.36,53.75,53.75
300302,同有科技,软件服务,北京,79.33,2.45,4.21,0.03,1.85,5.18,20120321,62.96,8.24,29.4,11.36,9.61,0.05,0.15,0.16,0.7,0.41,0.36,40.46,23.54
600196,复星医药,化学制药,上海,27.67,19.1,25.63,0.28,10.39,2.93,19980807,47.38,-4.33,57.59,12.34,30.48,0.36,0.09,0,0.36,0.36,0.36,781.2,582.17
601238,广汽集团,汽车整车,广东,6.77,60.61,102.15,0.38,7.18,1.43,20120329,13.69,1.34,24.52,20.21,10.29,0.01,0.01,0.02,0.49,0.49,0.36,1051.12,623.68
300486,东杰智能,专用机械,山西,58.92,1.34,1.63,0.07,6.61,2.12,20150630,-38.7,-34.08,23.65,10.07,14.02,0.02,0.02,0.04,0.59,0.48,0.36,22.85,18.79
603518,维格娜丝,服饰,江苏,11.29,1.49,1.81,0.37,12.26,1.33,20141203,142.4,119.64,68.95,8.64,16.29,0.02,0.03,0.04,0.56,0.39,0.36,29.48,24.27
413,东旭光电,元器件,河北,18.39,40.95,57.3,0.074,5.47,1,19960925,106.61,9.67,20.68,9.1,5.45,0,0,0,0.67,0.52,0.36,312.29,223.18
600272,开开实业,中成药,上海,42.96,1.6,2.43,0.088,2.07,3.64,20010228,-5.35,31.05,26.31,4.81,7.56,0,0.01,0.02,0.67,0.45,0.36,18.37,12.1
868,安凯客车,汽车整车,安徽,0,6.96,7.33,-0.12,1.45,3.35,19970725,-33.4,-252.39,2.41,-12.48,4.87,0.08,0.08,0.18,0.6,0.6,0.36,35.7,33.9
600405,动力源,电气设备,北京,0,5.53,5.62,-0.06,2.36,1.95,20040401,-13.14,-20.24,28.17,-22.29,4.6,0,0.01,0.01,0.6,0.5,0.36,25.85,25.44
751,锌业股份,铅锌,辽宁,50.8,14.1,14.1,0.031,1.72,1.84,19970626,26.18,-45.44,5.57,1.11,3.17,0.02,0.02,0.04,0.54,0.54,0.36,44.7,44.7
600363,联创光电,元器件,江西,22.94,4.43,4.43,0.089,5.14,1.59,20010329,31.51,-18.53,12.37,5.01,8.18,0,0,0,0.59,0.46,0.36,36.24,36.24
603099,长白山,旅游景点,吉林,0,2.67,2.67,-0.12,3.45,2.8,20140822,66.74,-13.62,-39.54,-74.21,9.65,0,0,0,0.56,0.37,0.36,25.77,25.77
300297,蓝盾股份,软件服务,广东,33.47,7.56,11.75,0.054,3.44,2.11,20120315,55.86,12.21,50.96,12.02,7.27,0.01,0.02,0.02,0.52,0.37,0.36,85.42,54.96
50,深天马Ａ,元器件,深圳,15.16,14.01,20.48,0.24,12.43,0.92,19950315,47.53,2.71,15.75,5.9,11.48,0,0,0,0.55,0.55,0.36,235.11,160.83
600538,国发股份,医药商业,广西,3755.63,4.64,4.64,0,1.42,2.78,20030114,-54.67,103.91,16.16,0.25,3.94,0,0,0,0.72,0.42,0.36,18.28,18.28
300320,海达股份,橡胶,江苏,17.53,4.53,6.01,0.09,2.13,2.56,20120601,104.65,97.97,28.96,9.77,5.45,0.05,0.05,0.12,0.6,0.6,0.36,32.75,24.69
2677,浙江美大,家用电器,浙江,31.29,2.83,6.46,0.23,1.79,7.9,20120525,50.79,47.03,51.2,25.92,14.12,0.34,0.07,0,0.35,0.35,0.35,91.22,39.96
300005,探路者,服饰,北京,62.82,6.62,8.91,0.027,2.86,1.19,20091030,-31.38,-69.47,30.23,2.75,3.4,0.01,0.01,0.03,0.7,0.57,0.35,30.29,22.51
2261,拓维信息,互联网,湖南,483.03,9.72,11.01,0.002,3.51,1.31,20080723,-19.72,-96.25,51.22,1.11,4.59,0.05,0.08,0.15,0.66,0.55,0.35,50.54,44.61
300358,楚天科技,医疗保健,湖南,46.78,1.8,4.74,0.051,4.95,1.91,20140121,37.72,-6.88,34.94,6.96,9.46,0.03,0.05,0.06,0.58,0.41,0.35,44.84,17.03
2582,好想你,食品,河南,10.5,2.36,5.16,0.233,6.58,1.49,20110520,37.71,102.04,30.23,6.72,9.79,0,0,0,0.55,0.35,0.35,50.52,23.1
603808,歌力思,服饰,深圳,17.4,3.3,3.37,0.238,6.41,2.59,20150422,69.28,33.18,67.05,13.97,16.59,0,0,0,0.38,0.35,0.35,55.91,54.75
300101,振芯科技,通信设备,四川,69.3,5.49,5.56,0.046,1.7,7.52,20100806,-0.04,106.87,54.78,24.8,12.77,0.1,0.16,0.04,0.48,0.35,0.35,71,70.11
2189,利达光电,元器件,河南,55.1,1.97,1.99,0.113,2.87,4.32,20071203,8.23,165.21,17.51,4.62,12.4,0.01,0.02,0.02,0.53,0.35,0.35,24.68,24.43
885,同力水泥,水泥,河南,10.34,4.96,4.96,0.259,4.02,2.67,19990319,-60.43,4.95,60.95,30.6,10.72,0.03,0.08,0.13,0.7,0.49,0.35,53.17,53.17
600727,鲁北化工,农药化肥,山东,23.85,3.51,3.51,0.071,3.38,2.01,19960702,-13.05,377.03,35.22,21.79,6.79,0.01,0.01,0.02,0.44,0.44,0.35,23.83,23.83
601919,中远海控,水运,天津,59.02,76.36,102.16,0.018,1.97,2.12,20070626,9.06,-33.04,7.89,0.83,4.18,0.01,0.01,0.02,0.49,0.48,0.35,427.03,319.18
2356,赫美集团,其他商业,深圳,65.69,4.8,5.28,0.044,3.45,3.32,20100209,-19.69,48.33,55.94,3.67,11.46,0.39,0.39,0.43,0.39,0.39,0.35,60.51,55.01
2294,信立泰,化学制药,深圳,18.64,10.46,10.46,0.397,6.18,4.79,20090910,15.86,10.33,81.25,36.87,29.6,0.18,0,0,0.35,0.35,0.35,309.62,309.62
498,山东路桥,建筑施工,山东,36.46,4.41,11.2,0.029,3.61,1.16,19970609,52.18,20.25,8.35,1.63,4.2,0.12,0.13,0.22,0.53,0.51,0.35,47.04,18.52
636,风华高科,元器件,广东,30.12,8.75,8.95,0.13,5.14,3.04,19961129,35.17,327.69,30.37,13.81,15.65,0.48,0.45,0.33,0.35,0.35,0.35,140.07,136.94
2066,瑞泰科技,其他建材,北京,73.81,2.31,2.31,0.026,1.8,4.22,20060823,109.5,11.28,17.1,0.65,7.6,0.05,0.09,0.14,0.63,0.49,0.35,17.56,17.56
600859,王府井,百货,北京,6.91,3.05,7.76,0.585,13.51,1.2,19940506,6.11,107.81,20.89,6.36,16.18,0.21,0.05,0.04,0.35,0.35,0.35,125.56,49.35
300535,达威股份,化工原料,四川,45.31,0.53,1.04,0.077,6.41,2.19,20160812,2.1,-42.52,47.23,11.27,14.01,0,0,0,0.8,0.58,0.35,14.57,7.43
300141,和顺电气,电气设备,江苏,110.96,1.63,2.55,0.02,2.74,2.71,20101112,11.46,2.94,23.43,3.16,7.42,0.01,0.01,0.03,0.61,0.6,0.35,18.92,12.09
2419,天虹股份,百货,深圳,13.21,12,12,0.404,5.12,2.09,20100601,6.02,29.52,26.6,5.1,10.69,0.34,0.26,0,0.35,0.35,0.35,128.28,128.28
600535,天士力,中成药,天津,17.58,15.13,15.13,0.612,6.06,3.55,20020823,16.68,22.32,35.11,10.91,21.5,0.13,0.13,0.13,0.35,0.35,0.35,325.3,325.3
603118,共进股份,通信设备,深圳,1048.44,7.76,7.82,0.001,5.56,0.94,20150225,-8.77,-99.03,11.02,0.06,5.23,0.01,0.01,0.04,0.74,0.62,0.35,40.9,40.58
2388,新亚制程,元器件,深圳,66.48,4,5.04,0.021,2.47,2.25,20100413,-23.84,9.79,22.47,6.81,5.55,0,0,0,0.66,0.48,0.35,27.97,22.2
603988,中电电机,电气设备,江苏,51.43,1.68,1.68,0.158,3.95,4.1,20141104,48.06,49.01,33.58,13.14,16.21,0.16,0.16,0.34,0.59,0.59,0.35,27.23,27.23
2437,誉衡药业,化学制药,黑龙江,21.7,21.67,21.98,0.103,1.99,2.24,20100623,100.53,3.09,73.33,8.91,4.46,0.05,0.08,0.1,0.53,0.39,0.35,98.03,96.65
300525,博思软件,软件服务,福建,0,0.78,1.3,-0.11,3.49,5.82,20160726,51.11,-388.95,61.48,-12.38,20.3,0.02,0.08,0.08,0.72,0.35,0.35,26.39,15.83
600507,方大特钢,特种钢,江西,6.4,13.26,14.5,0.96,2.88,3.99,20030930,31.36,85.35,31.36,15.85,11.52,0.5,0.2,0.2,0.35,0.35,0.35,167.04,152.76
2674,兴业科技,纺织,福建,57.81,2.4,3.02,0.031,7.81,0.92,20120507,-19.99,-16.71,9.44,2.8,7.2,0.02,0.05,0.06,0.61,0.41,0.35,21.74,17.28
300093,金刚玻璃,玻璃,广东,533.99,2.15,2.16,0.003,4.15,1.6,20100708,116.96,45.78,34.86,0.53,6.66,0.01,0.01,0.03,0.75,0.6,0.35,14.39,14.32
603117,万林股份,仓储物流,江苏,22.74,6.26,6.47,0.046,3.57,1.17,20150629,97.03,52.04,55.6,15.53,4.19,0,0,0,0.69,0.54,0.35,27.11,26.23
890,法 尔 胜,钢加工,江苏,70.16,3.8,3.8,0.017,2.43,2,19990119,-17.08,-22.3,5,1.27,4.85,0,0.01,0.02,0.64,0.41,0.35,18.43,18.43
300354,东华测试,电器仪表,江苏,0,0.75,1.38,-0.03,2.49,3.73,20120920,-25.41,3.85,62.33,-32.45,9.27,0.01,0.01,0.02,0.69,0.48,0.35,12.79,6.95
600216,浙江医药,化学制药,浙江,5.9,9.47,9.66,0.49,8.06,1.41,19991021,61.68,1838.06,58.49,24.21,11.37,0.3,0.18,0.08,0.35,0.35,0.35,109.83,107.67
300452,山河药辅,化学制药,安徽,30.07,1.08,1.39,0.114,3.28,4.17,20150515,44.52,35.73,31.08,14.58,13.68,0.05,0.13,0.07,0.59,0.35,0.35,19.02,14.77
2772,众兴菌业,种植业,甘肃,37.15,2.54,3.73,0.1,6.58,1.12,20150626,29.68,-41.92,23.59,8.94,7.38,0,0.01,0.02,0.68,0.45,0.35,27.53,18.75
300491,通合科技,电气设备,河北,0,0.51,1.45,-0.01,2.96,4.53,20151231,-10.47,16.74,35.18,-5.33,13.42,0,0,0,0.82,0.6,0.35,19.46,6.84
603169,兰石重装,专用机械,甘肃,0,10.25,10.52,-0.046,3.07,1.66,20141009,3.27,-494.42,11.38,-3.53,5.09,0.04,0.07,0.15,0.68,0.55,0.35,53.55,52.17
838,财信发展,区域地产,北京,71.41,6.32,11,0.012,1.63,2.17,19970626,264.72,124.82,23.28,4.44,3.54,0,0.01,0.02,0.68,0.51,0.35,38.94,22.37
300029,天龙光电,专用机械,江苏,0,1.9,2,-0.061,1.21,4.41,20091225,-77.21,29.26,23.39,-321.74,5.36,0.02,0.05,0.08,0.65,0.44,0.35,10.72,10.18
300286,安科瑞,电器仪表,上海,21.51,1.64,2.17,0.098,3.2,2.62,20120113,18.35,6.06,54.07,21.96,8.4,0,0.01,0.01,0.61,0.41,0.35,18.23,13.78
99,中信海直,空运,深圳,61.88,6.06,6.06,0.024,4.89,1.22,20000731,7.62,4.46,17.37,5.15,5.96,0,0,0,0.56,0.48,0.35,36.12,36.12
300471,厚普股份,专用机械,四川,0,2.73,3.65,-0.21,4.33,1.66,20150611,-65.25,-224,31.21,-47.68,7.19,0.06,0.07,0.17,0.65,0.6,0.35,26.24,19.63
881,中广核技,综合类,辽宁,82.79,3.08,10.56,0.025,5.09,1.61,19980902,15.96,-30.8,18.45,1.98,8.22,0.02,0.04,0.09,0.71,0.54,0.35,86.8,25.32
600303,曙光股份,汽车整车,辽宁,64.08,6.2,6.76,0.021,4.61,1.14,20001226,-3.49,-96.89,18.62,1.63,5.27,0.04,0.04,0.08,0.55,0.55,0.35,35.63,32.67
970,中科三环,元器件,北京,41.74,10.65,10.65,0.105,4.05,2.17,20000420,10.86,-26.68,20.26,5.7,8.8,0,0,0,0.58,0.58,0.35,93.72,93.72
300368,汇金股份,专用机械,河北,356.76,2.62,5.38,0.004,1.7,3.63,20140123,105.94,118.67,35.13,1.44,6.18,0.03,0.08,0.17,0.78,0.56,0.35,33.25,16.19
2696,百洋股份,渔业,广西,69.8,2.18,3.95,0.034,5.6,1.7,20120905,29.03,1629.72,23.93,2.66,9.51,0.01,0.02,0,0.39,0.35,0.35,37.56,20.73
600894,广日股份,运输设备,广东,60.45,8.6,8.6,0.024,7.96,0.72,19960328,15.3,-78.92,13.17,1.99,5.75,0.01,0.01,0.03,0.59,0.5,0.35,49.45,49.45
300011,鼎汉技术,运输设备,北京,67.06,4.48,5.59,0.051,4.5,1.53,20091030,25.15,238.2,30.2,4.83,6.88,0.05,0.11,0.2,0.7,0.51,0.35,38.46,30.82
2592,八菱科技,汽车配件,广西,141.72,2.04,2.83,0.023,7.56,1.7,20111111,-26.11,-83.64,11.02,3.63,12.86,0.03,0.05,0.1,0.62,0.53,0.35,36.39,26.23
600444,国机通用,塑料,安徽,0,1.05,1.46,-0.02,3.46,3.03,20040219,-6.96,-126.7,17.09,-3.45,10.48,0,0,0,0.57,0.47,0.35,15.3,11
2264,新 华 都,超市连锁,福建,48.09,6.02,6.92,0.04,2.45,3.26,20080731,1.54,-27.11,21.89,1.55,7.97,0.1,0.1,0.11,0.5,0.5,0.35,55.15,47.98
2198,嘉应制药,中成药,广东,136.23,4.65,5.08,0.022,1.5,4.08,20071218,14.23,15.16,67.91,5.34,6.12,0.07,0.08,0.17,0.59,0.54,0.35,31.09,28.46
600732,ST新梅,区域地产,上海,1300.74,4.46,4.46,0.001,1,4.45,19960816,43.3,-98.53,-22.92,4.08,4.47,0,0,0,0.5,0.5,0.35,19.94,19.94
2202,金风科技,电气设备,新疆,45.84,28.55,35.56,0.067,6.01,2.06,20071226,7.7,32.72,36.03,6.21,12.36,0.21,0.18,0.18,0.35,0.35,0.35,439.52,352.88
300236,上海新阳,半导体,上海,0,1.9,1.94,-0.097,6.51,3.99,20110629,8.5,-154.07,35.48,-7.46,25.99,0.13,0.15,0.05,0.44,0.39,0.35,50.42,49.38
300493,润欣科技,通信设备,上海,60.33,1.55,3.18,0.04,1.67,6.03,20151210,4.2,25.55,12.31,3.57,10.09,0,0,0,0.62,0.44,0.35,32.09,15.64
300533,冰川网络,软件服务,深圳,44.57,0.36,1.01,0.19,15.34,2.14,20160818,-26.93,-37.46,90.18,31.78,32.89,0,0,0.01,0.82,0.6,0.35,33.22,11.84
888,峨眉山Ａ,旅游景点,四川,50.14,5.27,5.27,0.035,4.12,1.7,19971021,4.32,11.33,34.08,6.96,7,0,0,0,0.49,0.41,0.35,36.89,36.89
300414,中光防雷,元器件,四川,60.08,1.57,1.71,0.064,4.69,3.28,20150513,32.11,35.37,32.71,12.47,15.4,0.01,0.03,0.01,0.63,0.43,0.35,26.33,24.18
600684,珠江实业,全国地产,广东,6.43,8.53,8.53,0.175,3.57,1.26,19931028,-41,29.13,57.18,18.81,4.51,0.03,0.04,0.04,0.47,0.39,0.35,38.47,38.47
2491,通鼎互联,通信设备,江苏,20.62,11.87,12.62,0.122,3.75,2.68,20101021,22.53,75.22,27.76,14.11,10.05,0.04,0.07,0.07,0.46,0.35,0.35,126.83,119.29
600970,中材国际,建筑施工,江苏,16.27,16.83,17.54,0.101,4.41,1.49,20050412,15.29,18.09,18.3,3.94,6.57,0.1,0.1,0.13,0.41,0.41,0.35,115.24,110.57
600452,涪陵电力,水力发电,重庆,15.21,2.24,2.24,0.551,5.54,3.02,20040303,11.1,12.58,18.13,11.32,16.76,0,0,0,0.55,0.46,0.35,37.54,37.54
26,飞亚达Ａ,其他商业,深圳,13.32,3.57,4.39,0.136,5.76,1.26,19930603,4.26,31.33,41.42,6.99,7.23,0,0.01,0.01,0.55,0.42,0.35,31.74,25.81
2783,凯龙股份,化工原料,湖北,61.75,1.71,3.34,0.031,4.21,1.8,20151209,34.15,-45.09,28.01,3.29,7.57,0,0.01,0.01,0.73,0.5,0.35,25.28,12.94
600603,广汇物流,仓储物流,四川,12.1,5.04,12.54,0.08,4.81,0.8,19920113,127.11,64.06,60.52,33.34,3.83,0.01,0.01,0.02,0.59,0.49,0.35,48.03,19.3
2177,御银股份,电脑设备,广东,170.14,6.45,7.61,0.005,2.23,1.55,20071101,-22.85,-77.71,15.58,2.93,3.44,0.01,0.01,0.02,0.61,0.44,0.35,26.18,22.19
652,泰达股份,批发业,天津,0,14.74,14.76,-0.009,2.55,1.19,19961128,11.11,51.84,2.21,-0.36,3.04,0.03,0.05,0.07,0.57,0.45,0.35,44.87,44.81
300153,科泰电源,电气设备,上海,288.34,3.2,3.2,0.006,3.02,2.38,20101229,18.46,-74.96,16.54,0.8,7.19,0,0.01,0.02,0.72,0.61,0.35,23.01,23.01
603701,德宏股份,汽车配件,浙江,20.57,0.71,1.46,0.268,4.18,2.64,20160412,-0.24,-3.29,31.54,16.26,11.03,0,0.01,0.02,0.74,0.49,0.35,16.1,7.83
600638,新黄浦,区域地产,上海,49.12,6.73,6.73,0.042,6.29,1.32,19930326,-56.7,-6.41,25.32,6.83,8.28,0,0,0,0.5,0.46,0.35,55.72,55.72
300401,花园生物,食品,浙江,25.82,4.3,4.79,0.32,2.94,5.62,20141009,37.7,103.68,64.99,47.74,16.5,0.41,0.22,0.01,0.34,0.34,0.34,79.04,70.95
600864,哈投股份,证券,黑龙江,73.68,15.78,21.09,0.014,6.36,0.66,19940809,4.67,-71.66,9.71,6.6,4.21,0.02,0.03,0.06,0.65,0.53,0.34,88.79,66.43
2551,尚荣医疗,医疗保健,深圳,18.07,4.08,7.06,0.077,3.27,1.71,20110225,-16.25,2.98,27.29,10.92,5.6,0.01,0.02,0.05,0.67,0.5,0.34,39.54,22.85
20,深华发Ａ,元器件,深圳,2765.25,1.81,2.83,0.001,1.13,10.59,19920428,-10.54,-27.06,11.01,0.18,12,0.11,0.15,0.16,0.55,0.48,0.34,33.96,21.72
601718,际华集团,服饰,北京,27.43,43.92,43.92,0.035,4.32,0.89,20100816,-9.12,-44.49,10.27,2.87,3.86,0.02,0.03,0.06,0.61,0.56,0.34,169.53,169.53
600120,浙江东方,商贸代理,浙江,11.85,6.65,8.74,0.262,11.67,1.06,19971201,73.84,-6.2,1.18,13.47,12.4,0.01,0.01,0.02,0.56,0.45,0.34,108.38,82.46
2295,精艺股份,铜,广东,23.02,2.31,2.51,0.069,4.58,1.39,20090929,24.38,25.41,4.44,1.35,6.36,0.01,0.02,0.04,0.66,0.53,0.34,15.96,14.69
300328,宜安科技,铝,广东,66.42,4.1,4.6,0.052,2.61,2.65,20120619,14.04,13.56,25.35,5.94,6.9,0.03,0.04,0.06,0.52,0.46,0.34,31.74,28.29
603027,千禾味业,食品,四川,13.07,1.33,3.26,0.337,3.6,4.9,20160307,-3.01,193.18,43.71,44.81,17.63,0.2,0.19,0.11,0.34,0.34,0.34,57.47,23.45
2534,杭锅股份,专用机械,浙江,15.38,7.28,7.39,0.11,4.14,1.55,20110110,-32.5,-20.85,24.18,10.91,6.4,0.01,0.01,0.02,0.49,0.49,0.34,47.3,46.59
300465,高伟达,软件服务,北京,692.73,4.27,4.47,0.003,2.41,3.3,20150528,29.66,108.84,22.08,0.44,7.95,0.01,0.06,0.04,0.71,0.36,0.34,35.54,33.95
600630,龙头股份,纺织,上海,32.12,4.25,4.25,0.055,4.32,1.65,19930209,13.75,10.39,28.46,2.38,7.12,0.02,0.04,0.07,0.6,0.46,0.34,30.26,30.26
757,浩物股份,汽车配件,四川,43.86,4.52,4.52,0.03,1.4,3.72,19970627,15.69,3.86,26.46,6.91,5.22,0.02,0.05,0.05,0.6,0.34,0.34,23.59,23.59
2149,西部材料,小金属,陕西,712.9,4.25,4.25,0.002,4.18,1.59,20070810,-12.15,214.14,14.53,0.36,6.62,0,0,0.01,0.62,0.55,0.34,28.14,28.14
727,华东科技,元器件,江苏,0,29.31,45.3,-0.053,2.33,0.76,19970520,-16.53,3.97,-29.73,-22.91,1.76,0,0,0,0.54,0.41,0.34,79.73,51.59
603355,莱克电气,家用电器,江苏,34.37,4.01,4.01,0.181,8.26,3.01,20150513,11.76,-50.17,23.7,4.82,24.89,0,0,0,0.58,0.54,0.34,99.81,99.81
909,数源科技,综合类,浙江,99.15,3.11,3.12,0.018,3.33,2.2,19990507,28.42,11.93,9.35,1.86,7.32,0,0,0.01,0.63,0.5,0.34,22.84,22.77
601933,永辉超市,超市连锁,福建,36.24,81.35,95.7,0.098,1.93,3.66,20101215,21.47,-11.54,22.41,2.71,7.07,0.39,0.08,0.01,0.38,0.38,0.34,676.6,575.14
600115,东方航空,空运,上海,9.72,98.08,144.68,0.137,3.83,1.39,19971105,9.04,-29.63,11.92,7.41,5.33,0.03,0.03,0.04,0.37,0.37,0.34,771.14,522.77
300149,量子生物,食品,广东,173.53,4.05,5,0.03,1.96,7.73,20101222,53.23,-10.81,48.32,13.78,15.11,0.2,0.2,0.15,0.34,0.34,0.34,75.55,61.2
600489,中金黄金,黄金,北京,97.52,34.51,34.51,0.017,3.93,1.66,20030814,-12.6,-34.33,11.1,0.82,6.54,0.02,0.03,0.04,0.55,0.44,0.34,225.7,225.7
300053,欧比特,半导体,广东,82.45,4.94,7.02,0.032,4.49,2.37,20100211,29.62,4.32,38.26,12.93,10.64,0.04,0.04,0.04,0.4,0.4,0.34,74.69,52.56
300094,国联水产,渔业,广东,13.24,7.46,7.84,0.214,2.69,2.1,20100708,22.86,136.58,13.52,7.65,5.66,0,0,0,0.44,0.34,0.34,44.37,42.22
568,泸州老窖,白酒,四川,13.64,14.02,14.65,0.827,11.18,4.03,19940509,26.2,51.86,74.67,35.94,45.1,0.39,0.04,0.04,0.37,0.37,0.34,660.72,632.3
600479,千金药业,中成药,湖南,28.33,3.66,4.19,0.081,4.57,2.01,20040312,4.98,22.37,46.95,4.92,9.19,0.02,0.02,0.02,0.36,0.34,0.34,38.51,33.64
601198,东兴证券,证券,北京,24.56,27.58,27.58,0.101,7.05,1.4,20150226,-8.75,-8.3,0,42.18,9.88,0.01,0.02,0.03,0.59,0.49,0.34,272.49,272.49
2695,煌上煌,食品,江西,28.83,4.53,5.14,0.1,3.55,3.19,20120905,23.39,42.91,35.92,12.15,11.31,0,0,0,0.67,0.51,0.34,58.13,51.23
300281,金明精机,专用机械,广东,33.71,2.21,4.19,0.076,2.92,1.76,20111229,6.23,6.56,28.47,14.14,5.14,0.01,0.02,0.04,0.64,0.5,0.34,21.54,11.36
2222,福晶科技,元器件,福建,30.79,4.23,4.28,0.194,1.9,6.29,20080319,15.77,24.99,59.24,32.28,11.92,0.03,0.03,0.06,0.5,0.5,0.34,51.02,50.42
600765,中航重机,机械基件,贵州,53.07,7.78,7.78,0.035,4.85,1.53,19961106,-18.25,-44.42,25.14,2.57,7.44,0.03,0.05,0.1,0.61,0.51,0.34,57.88,57.88
408,藏格控股,农药化肥,青海,66.64,4.47,19.94,0.042,3.32,3.39,19960628,20.18,190.09,68.69,32.07,11.24,0,0,0,0.46,0.46,0.34,224.13,50.24
600605,汇通能源,商贸代理,上海,30.67,1.47,1.47,0.071,4.64,1.87,19920327,-25.25,95.38,6.86,2.64,8.69,0.02,0.04,0.07,0.66,0.47,0.34,12.77,12.77
300374,恒通科技,其他建材,北京,35.52,1.61,2.46,0.071,5.9,1.71,20150319,-22.55,214.23,33.7,11.31,10.08,0.02,0.02,0.07,0.67,0.66,0.34,24.8,16.23
2544,杰赛科技,软件服务,广东,51.92,5.12,5.71,0.058,3.75,3.21,20110128,3.02,2.91,17.72,3.38,12.04,0.04,0.08,0.14,0.65,0.49,0.34,68.75,61.64
300350,华鹏飞,软件服务,深圳,48.44,2.35,5.31,0.028,3.58,1.52,20120821,-5.31,-46.33,31,8.83,5.45,0,0.01,0.01,0.68,0.57,0.34,28.94,12.81
600988,赤峰黄金,黄金,内蒙,55.79,14.26,14.26,0.044,1.95,2.49,20040414,2.13,-21.85,16.58,6.23,4.87,0.03,0.05,0.05,0.5,0.34,0.34,69.45,69.45
600448,华纺股份,纺织,山东,261.99,4.22,5.25,0.003,2.76,1.3,20010903,27.87,-19.26,5.12,0.24,3.59,0.08,0.13,0.19,0.57,0.45,0.34,18.85,15.15
300528,幸福蓝海,影视音像,江苏,20.21,1.66,3.73,0.121,5.29,1.85,20160808,41.01,102.7,39.67,9.18,9.77,0.01,0.03,0.05,0.76,0.45,0.34,36.44,16.22
2634,棒杰股份,服饰,浙江,91.29,2.7,4.61,0.011,1.51,2.68,20111205,18.68,-36.43,26.69,5.4,4.05,0,0.01,0.02,0.7,0.5,0.34,18.67,10.94
2121,科陆电子,电器仪表,深圳,61.57,7.93,14.08,0.046,3.44,1.64,20070306,29.25,-52.05,28.65,3.28,5.65,0.03,0.03,0.04,0.47,0.47,0.34,79.55,44.8
2255,海陆重工,专用机械,江苏,33.75,4.89,8.42,0.04,4.46,1.1,20080625,141.26,48.57,19.1,6.68,4.92,0.01,0.01,0.02,0.51,0.41,0.34,41.43,24.06
2091,江苏国泰,商贸代理,江苏,9.7,9.68,15.71,0.145,4.66,1.21,20061208,5.75,48.06,7.67,3.01,5.63,0,0,0,0.51,0.51,0.34,88.45,54.5
300352,北信源,软件服务,北京,1200.79,10.44,14.5,0.001,1.53,2.66,20120912,38.85,48.81,84.64,1.42,4.06,0.1,0.24,0.24,0.6,0.34,0.34,58.87,42.39
2167,东方锆业,小金属,广东,82.06,5.86,6.21,0.021,1.68,4.09,20070913,1.42,293.42,28.79,9.18,6.89,0.12,0.12,0.21,0.51,0.49,0.34,42.79,40.38
21,深科技,电脑设备,深圳,27.32,14.69,14.71,0.117,3.99,1.6,19940202,15,-44.13,3.96,2.08,6.38,0.03,0.03,0.04,0.45,0.45,0.34,93.85,93.72
2407,多氟多,化工原料,河南,29.05,5.44,7.03,0.12,4.44,2.83,20100518,26.65,10.13,33.39,8.92,12.58,0.01,0.01,0.03,0.67,0.56,0.34,88.44,68.44
600747,ST大控,多元金融,辽宁,90.69,10.64,14.64,0.004,1.35,1.11,19960916,-41.62,164.95,11.19,23.98,1.5,0.01,0.03,0.06,0.72,0.52,0.34,21.96,15.96
300018,中元股份,电气设备,湖北,213.25,3.46,4.84,0.01,3.01,1.48,20091030,12.86,-79.79,51.14,3.1,4.46,0,0,0,0.7,0.46,0.34,21.59,15.43
600829,人民同泰,医药商业,黑龙江,15.36,5.8,5.8,0.231,2.51,2.83,19940224,-13.63,-3.51,12.67,3.88,7.11,0.05,0.07,0.11,0.54,0.44,0.34,41.24,41.24
300168,万达信息,软件服务,上海,121.84,10.59,10.68,0.072,2.85,6.18,20110125,15.89,101.63,38.12,7.64,17.62,0.37,0.37,0.27,0.34,0.34,0.34,188.18,186.6
19,深深宝Ａ,软饮料,深圳,0,4.16,4.97,-0.022,1.88,4.69,19921012,-3.83,-9.07,25.31,-18.82,8.84,0.03,0.05,0.05,0.51,0.34,0.34,43.93,36.77
2591,恒大高新,化工原料,江西,70.63,1.82,3.08,0.02,4.05,1.61,20110621,180.71,155.43,57.86,11.62,6.53,0.01,0.01,0.03,0.62,0.5,0.34,20.11,11.88
601377,兴业证券,证券,福建,21.18,66.97,66.97,0.055,5.04,0.92,20101013,-16.39,-46.35,0,22.28,4.63,0.03,0.03,0.04,0.47,0.47,0.34,310.07,310.07
2545,东方铁塔,钢加工,山东,67.7,6.18,12.91,0.021,5.43,1.03,20110211,-10.76,25.37,30.24,7.09,5.59,0,0,0,0.67,0.67,0.34,72.17,34.55
