code,name,industry,area,pe,outstanding,totals,esp,bvps,pb,timeToMarket,rev,profit,gpr,npr,tmpclose,pos2year,pos1year,pos6month,de2year,de1year,de6month,totalvalue,subvalue
603010,万盛股份,化工原料,浙江,40.52,2.2,2.5,0.191,4.4,3.52,20141010,-10.05,-30.95,18.96,7.39,15.47,0.03,0.04,0.05,0.62,0.52,0.47,38.68,34.03
601798,*ST蓝科,化工机械,甘肃,0,3.55,3.55,-0.158,4.74,0.99,20110622,-32.88,-3170.04,18.43,-35.65,4.7,0.06,0.09,0.13,0.68,0.59,0.47,16.69,16.69
34,神州数码,综合类,深圳,18.04,3.58,6.54,0.17,5.27,2.33,19940509,29.12,30.66,4.65,0.71,12.29,0,0,0,0.63,0.47,0.47,80.38,44
752,西藏发展,啤酒,西藏,151.47,2.64,2.64,0.013,3,2.56,19970625,-2.39,-8.06,23.38,3.68,7.7,0.05,0.08,0.08,0.61,0.48,0.47,20.33,20.33
300317,珈伟股份,半导体,深圳,45.78,3.24,8.4,0.031,5.89,0.96,20120511,-30.11,-73.67,30.75,5.45,5.63,0,0,0.01,0.77,0.74,0.47,47.29,18.24
300341,麦迪电气,电气设备,福建,52.6,5.1,5.1,0.023,2.14,2.31,20120726,-0.45,-40.72,39.26,7.25,4.94,0.02,0.04,0.04,0.65,0.47,0.47,25.19,25.19
2251,步 步 高,超市连锁,湖南,12.16,8.19,8.64,0.194,7.4,1.27,20080619,13.95,10.35,22.24,3.11,9.43,0,0,0,0.52,0.5,0.47,81.48,77.23
933,神火股份,煤炭开采,河南,13.26,19,19.01,0.173,3.26,1.41,19990831,-0.74,-46.24,14.7,3.59,4.59,0.03,0.03,0.07,0.69,0.69,0.47,87.26,87.21
2208,合肥城建,区域地产,安徽,9.78,3.19,3.2,0.521,5.87,1.74,20080128,4.24,441.48,41.61,14.59,10.2,0.15,0.19,0.15,0.55,0.47,0.47,32.64,32.54
300508,维宏股份,软件服务,上海,0,0.24,0.91,-0.008,5.47,4.46,20160419,22.59,-101.79,63.19,-0.58,24.36,0,0.01,0.01,0.77,0.6,0.47,22.17,5.85
