,date,open,close,high,low,volume,code
156,2016-08-22,12.582,12.216,12.588,12.211,153928.0,600366
157,2016-08-23,12.195,12.195,12.313,12.13,73125.0,600366
158,2016-08-24,12.211,12.249,12.346,12.195,66018.0,600366
159,2016-08-25,12.211,12.114,12.211,11.969,70027.0,600366
160,2016-08-26,12.179,12.195,12.286,12.141,73946.0,600366
161,2016-08-29,12.173,12.383,12.41,12.173,90700.0,600366
162,2016-08-30,12.421,12.356,12.469,12.27,80250.0,600366
163,2016-08-31,12.2,12.475,12.507,12.173,149494.0,600366
164,2016-09-01,12.469,12.27,12.572,12.254,100879.0,600366
165,2016-09-02,12.297,12.136,12.335,12.05,93559.0,600366
166,2016-09-05,12.238,12.114,12.249,12.098,63676.0,600366
167,2016-09-06,12.147,12.383,12.432,12.007,118097.0,600366
168,2016-09-07,12.372,12.437,12.572,12.329,159915.0,600366
169,2016-09-08,12.453,12.389,12.588,12.324,84974.0,600366
170,2016-09-09,12.399,12.48,12.615,12.351,189128.0,600366
171,2016-09-12,12.238,11.953,12.243,11.937,147876.0,600366
172,2016-09-13,12.05,12.039,12.093,11.845,84007.0,600366
173,2016-09-14,11.937,11.872,11.996,11.84,64209.0,600366
174,2016-09-19,11.937,11.969,12.066,11.926,55243.0,600366
175,2016-09-20,11.969,11.894,12.017,11.845,58655.0,600366
176,2016-09-21,11.91,12.034,12.055,11.84,95631.0,600366
177,2016-09-22,12.05,11.942,12.077,11.937,88390.0,600366
178,2016-09-23,11.953,11.964,12.141,11.845,104248.0,600366
179,2016-09-26,11.985,11.668,11.985,11.636,86065.0,600366
180,2016-09-27,11.657,11.695,11.738,11.523,62668.0,600366
181,2016-09-28,11.77,11.544,11.77,11.539,61459.0,600366
182,2016-09-29,11.544,11.517,11.636,11.512,50309.0,600366
183,2016-09-30,11.512,11.533,11.587,11.49,33630.0,600366
184,2016-10-10,11.63,11.786,11.802,11.609,71208.0,600366
185,2016-10-11,11.786,11.775,11.851,11.722,63201.0,600366
186,2016-10-12,11.732,11.748,11.829,11.705,60843.0,600366
187,2016-10-13,11.781,11.77,11.808,11.722,48378.0,600366
188,2016-10-14,11.77,11.684,11.77,11.619,50901.0,600366
189,2016-10-17,11.673,11.587,11.765,11.582,58876.0,600366
190,2016-10-18,11.587,11.808,11.824,11.582,91585.0,600366
191,2016-10-19,11.861,11.845,11.985,11.781,113006.0,600366
192,2016-10-20,11.851,11.802,11.883,11.727,57304.0,600366
193,2016-10-21,11.813,11.716,11.888,11.652,78033.0,600366
194,2016-10-24,11.727,11.888,11.899,11.679,107347.0,600366
195,2016-10-25,11.894,11.964,11.969,11.835,119779.0,600366
196,2016-10-26,11.964,11.818,11.964,11.77,81874.0,600366
197,2016-10-27,11.818,11.856,11.878,11.77,60981.0,600366
198,2016-10-28,11.861,11.673,11.861,11.646,65351.0,600366
199,2016-10-31,11.673,11.673,11.732,11.636,55691.0,600366
200,2016-11-01,11.684,11.732,11.738,11.652,57186.0,600366
201,2016-11-02,11.722,11.587,11.722,11.576,76575.0,600366
202,2016-11-03,11.566,11.63,11.695,11.544,62293.0,600366
203,2016-11-04,11.63,11.84,11.926,11.587,165230.0,600366
204,2016-11-07,11.845,11.861,11.91,11.732,107082.0,600366
205,2016-11-08,11.926,11.829,11.942,11.781,78095.0,600366
206,2016-11-09,11.835,11.705,11.921,11.625,96257.0,600366
207,2016-11-10,11.84,11.964,11.974,11.84,184286.0,600366
208,2016-11-11,11.969,12.168,12.26,11.899,249209.0,600366
209,2016-11-14,12.071,12.082,12.238,12.039,163538.0,600366
210,2016-11-15,12.082,12.109,12.19,11.985,105394.0,600366
211,2016-11-16,12.13,12.017,12.163,11.996,82451.0,600366
212,2016-11-17,11.996,11.91,12.007,11.867,99020.0,600366
213,2016-11-18,11.899,11.878,11.996,11.872,67395.0,600366
214,2016-11-21,11.883,11.899,11.964,11.861,65918.0,600366
215,2016-11-22,11.904,11.996,12.001,11.888,77076.0,600366
216,2016-11-23,12.007,11.867,12.039,11.84,93240.0,600366
217,2016-11-24,11.845,11.818,11.942,11.808,77981.0,600366
218,2016-11-25,11.824,11.754,11.883,11.582,94468.0,600366
219,2016-11-28,11.754,11.786,11.84,11.711,58586.0,600366
220,2016-11-29,11.786,11.792,11.856,11.689,71240.0,600366
221,2016-11-30,11.775,11.759,11.883,11.727,53879.0,600366
222,2016-12-01,11.7,11.727,11.802,11.695,52598.0,600366
223,2016-12-02,11.722,11.447,11.765,11.436,91648.0,600366
224,2016-12-05,11.458,11.447,11.555,11.431,63622.0,600366
