,date,open,close,high,low,volume,code
141,2016-08-01,6.38,6.36,6.39,6.241,60814.0,600280
142,2016-08-02,6.36,6.4,6.4,6.32,38678.0,600280
143,2016-08-03,6.38,6.409,6.409,6.34,35697.0,600280
144,2016-08-04,6.38,6.409,6.419,6.36,32036.0,600280
145,2016-08-05,6.38,6.409,6.459,6.37,44054.0,600280
146,2016-08-08,6.409,6.469,6.489,6.36,48048.0,600280
147,2016-08-09,6.469,6.509,6.549,6.449,58456.0,600280
148,2016-08-10,6.529,6.469,6.539,6.459,44060.0,600280
149,2016-08-11,6.459,6.36,6.489,6.35,47190.0,600280
150,2016-08-12,6.36,6.409,6.429,6.34,40707.0,600280
151,2016-08-15,6.409,6.539,6.578,6.4,85414.0,600280
152,2016-08-16,6.568,6.588,6.598,6.519,72190.0,600280
153,2016-08-17,6.588,6.568,6.598,6.539,51078.0,600280
154,2016-08-18,6.568,6.638,6.708,6.549,113496.0,600280
155,2016-08-19,6.608,7.035,7.234,6.588,391920.0,600280
156,2016-08-22,6.976,6.817,7.075,6.787,208498.0,600280
157,2016-08-23,6.807,6.767,6.896,6.688,111615.0,600280
158,2016-08-24,6.797,6.906,6.936,6.737,138963.0,600280
159,2016-08-25,6.847,6.777,6.847,6.727,89906.0,600280
160,2016-08-26,6.737,6.777,6.837,6.718,80136.0,600280
161,2016-08-29,6.757,6.757,6.777,6.708,66019.0,600280
162,2016-08-30,6.767,6.718,6.767,6.688,63349.0,600280
163,2016-08-31,6.727,6.916,7.006,6.688,118975.0,600280
164,2016-09-01,6.906,6.847,6.926,6.767,133002.0,600280
165,2016-09-02,6.847,6.837,6.916,6.718,128416.0,600280
166,2016-09-05,6.827,6.718,6.827,6.708,127158.0,600280
167,2016-09-06,6.708,6.767,6.787,6.628,83142.0,600280
168,2016-09-07,6.777,6.767,6.837,6.727,105222.0,600280
169,2016-09-08,6.787,6.857,6.906,6.787,125397.0,600280
170,2016-09-09,6.807,6.787,6.857,6.737,78366.0,600280
171,2016-09-12,6.658,6.568,6.688,6.568,94447.0,600280
172,2016-09-13,6.618,6.688,6.708,6.578,61795.0,600280
173,2016-09-14,6.658,6.638,6.688,6.578,36390.0,600280
174,2016-09-19,6.638,6.708,6.777,6.638,52592.0,600280
175,2016-09-20,6.698,6.688,6.767,6.668,57139.0,600280
