,date,open,close,high,low,volume,code
156,2016-08-22,19.666,19.336,19.853,19.259,23939.0,002699
157,2016-08-23,19.188,19.331,19.496,19.188,19762.0,002699
158,2016-08-24,19.446,20.343,20.656,19.298,59725.0,002699
159,2016-08-25,20.079,19.809,20.183,19.694,48275.0,002699
160,2016-08-26,19.93,19.804,19.963,19.661,24769.0,002699
161,2016-08-29,19.804,19.914,20.024,19.628,21805.0,002699
162,2016-08-30,19.969,19.848,20.343,19.826,32065.0,002699
163,2016-08-31,19.859,19.694,20.079,19.628,24808.0,002699
164,2016-09-01,19.738,19.639,19.793,19.573,19959.0,002699
165,2016-09-02,19.639,18.995,19.639,18.874,31417.0,002699
166,2016-09-05,19.039,19.149,19.617,19.039,23773.0,002699
167,2016-09-06,19.094,19.584,19.595,19.094,23869.0,002699
168,2016-09-07,19.749,19.606,20.068,19.507,29180.0,002699
169,2016-09-08,19.683,19.82,19.952,19.622,22898.0,002699
170,2016-09-09,19.793,19.424,19.859,19.402,21797.0,002699
171,2016-09-12,19.177,18.714,19.177,18.643,28242.0,002699
172,2016-09-13,18.758,18.714,19.083,18.648,16244.0,002699
173,2016-09-14,18.593,18.665,18.912,18.577,14427.0,002699
174,2016-09-19,18.665,18.786,18.979,18.665,11294.0,002699
175,2016-09-20,18.808,18.99,19.188,18.709,14200.0,002699
176,2016-09-21,19.083,19.248,19.419,18.885,19119.0,002699
177,2016-09-22,19.529,19.336,19.551,19.27,13438.0,002699
178,2016-09-23,19.391,19.248,19.529,19.188,16901.0,002699
179,2016-09-26,19.155,19.193,19.523,19.133,22080.0,002699
180,2016-09-27,19.116,19.309,19.391,18.945,13635.0,002699
181,2016-09-28,19.391,19.364,19.419,19.254,12418.0,002699
182,2016-09-29,19.446,19.386,19.474,19.369,11848.0,002699
183,2016-09-30,19.446,19.578,19.6,19.309,19386.0,002699
184,2016-10-10,19.694,19.683,20.018,19.534,25833.0,002699
185,2016-10-11,19.639,19.496,19.743,19.397,17091.0,002699
186,2016-10-12,19.523,19.303,19.6,19.237,16889.0,002699
187,2016-10-13,19.303,19.364,19.468,19.138,21922.0,002699
188,2016-10-14,19.27,19.567,19.606,19.27,28498.0,002699
189,2016-10-17,19.479,19.138,19.578,18.984,17093.0,002699
190,2016-10-18,19.006,19.078,19.254,19.006,22917.0,002699
191,2016-10-19,19.138,19.1,19.243,19.012,19242.0,002699
192,2016-10-20,18.951,19.144,19.166,18.868,17616.0,002699
193,2016-10-21,19.375,19.947,20.024,17.229,65265.0,002699
194,2016-10-24,20.348,20.117,20.755,20.084,83875.0,002699
195,2016-10-25,20.227,19.793,20.227,19.633,51591.0,002699
196,2016-10-26,19.65,19.512,19.969,19.149,52317.0,002699
197,2016-10-27,19.358,19.413,19.672,19.309,22926.0,002699
198,2016-10-28,19.375,19.32,19.529,19.166,27035.0,002699
199,2016-10-31,19.32,19.441,19.463,18.995,20016.0,002699
200,2016-11-01,19.496,19.578,19.732,19.441,24183.0,002699
201,2016-11-02,19.666,19.254,19.738,19.144,23816.0,002699
202,2016-11-03,19.237,19.122,19.303,19.023,40874.0,002699
203,2016-11-04,18.995,19.006,19.243,18.995,19958.0,002699
204,2016-11-07,19.094,19.006,19.171,18.984,14173.0,002699
205,2016-11-08,19.034,19.012,19.122,18.813,20591.0,002699
206,2016-11-09,18.984,18.879,18.99,18.593,17464.0,002699
207,2016-11-10,19.083,18.929,19.083,18.736,27739.0,002699
208,2016-11-11,18.979,18.764,19.001,18.665,21156.0,002699
209,2016-11-14,18.764,18.797,18.956,18.709,16665.0,002699
210,2016-11-15,18.868,19.034,19.056,18.753,21514.0,002699
211,2016-11-16,19.034,18.94,19.122,18.923,20348.0,002699
212,2016-11-17,18.923,18.764,18.979,18.703,17386.0,002699
213,2016-11-18,18.764,18.714,18.907,18.681,19446.0,002699
214,2016-11-21,18.758,18.467,18.824,18.456,24547.0,002699
215,2016-11-22,18.467,18.373,18.494,18.159,37520.0,002699
216,2016-11-23,18.467,18.725,18.857,18.296,37537.0,002699
217,2016-11-24,18.725,18.39,18.923,18.373,31612.0,002699
218,2016-11-25,18.428,18.846,18.94,18.126,40156.0,002699
219,2016-11-28,18.929,18.901,19.177,18.775,29736.0,002699
220,2016-11-29,18.945,18.78,19.127,18.731,24959.0,002699
221,2016-11-30,18.731,18.703,18.863,18.472,19015.0,002699
222,2016-12-01,18.621,19.05,19.078,18.621,25939.0,002699
223,2016-12-02,19.061,18.731,19.089,18.731,17522.0,002699
224,2016-12-05,18.511,18.907,18.94,18.511,23918.0,002699
225,2016-12-06,18.951,19.05,19.221,18.824,21972.0,002699
226,2016-12-07,19.166,19.05,19.166,18.802,17627.0,002699
227,2016-12-08,19.061,19.556,19.903,19.061,52919.0,002699
228,2016-12-09,19.639,19.732,20.227,19.639,67881.0,002699
229,2016-12-12,19.518,19.529,20.134,19.424,63398.0,002699
230,2016-12-13,19.804,19.254,19.914,19.094,50036.0,002699
231,2016-12-14,19.419,20.09,20.161,19.419,92096.0,002699
232,2016-12-15,19.804,20.222,20.337,19.765,53548.0,002699
233,2016-12-16,20.134,20.079,20.42,19.87,42578.0,002699
234,2016-12-19,20.079,20.106,20.354,19.985,31615.0,002699
235,2016-12-20,20.106,20.354,20.48,20.024,55991.0,002699
236,2016-12-21,22.389,20.931,22.389,20.464,369506.0,002699
237,2016-12-22,20.733,20.293,20.739,19.809,128039.0,002699
238,2016-12-23,20.508,20.623,21.041,20.409,134961.0,002699
239,2016-12-26,20.293,20.486,20.557,19.694,72585.0,002699
240,2016-12-27,20.453,20.365,20.959,20.002,92470.0,002699
241,2016-12-28,20.194,19.639,20.321,19.639,81699.0,002699
242,2016-12-29,19.639,18.962,19.787,18.94,74416.0,002699
243,2016-12-30,18.99,18.593,19.105,18.577,62968.0,002699
244,2017-01-03,18.868,19.749,20.134,18.819,118675.0,002699
245,2017-01-04,19.551,19.864,20.084,19.551,86485.0,002699
246,2017-01-05,19.743,19.474,19.897,19.408,58109.0,002699
247,2017-01-06,19.364,18.775,19.639,18.659,65620.0,002699
248,2017-01-09,18.775,18.582,18.802,18.483,62373.0,002699
249,2017-01-10,18.593,18.703,18.918,18.593,38964.0,002699
250,2017-01-11,18.797,18.28,18.797,18.263,44887.0,002699
251,2017-01-12,18.346,18.06,18.511,18.016,40296.0,002699
252,2017-01-13,18.016,17.768,18.23,17.554,41576.0,002699
253,2017-01-16,17.763,16.674,17.906,16.035,66368.0,002699
254,2017-01-17,16.547,17.053,17.053,16.245,40185.0,002699
255,2017-01-18,16.888,16.778,16.971,16.602,21660.0,002699
256,2017-01-19,16.778,16.833,17.301,16.503,33648.0,002699
257,2017-01-20,16.839,16.861,17.268,16.696,54861.0,002699
258,2017-01-23,16.844,17.004,17.152,16.723,42412.0,002699
259,2017-01-24,16.993,17.218,17.301,16.916,43928.0,002699
260,2017-01-25,17.218,18.098,18.467,17.103,71426.0,002699
261,2017-01-26,18.087,18.263,18.329,17.922,42961.0,002699
262,2017-02-03,18.318,18.203,18.78,18.142,39760.0,002699
263,2017-02-06,18.351,18.577,18.643,18.274,34275.0,002699
264,2017-02-07,18.516,18.263,18.577,18.164,34679.0,002699
265,2017-02-08,18.258,18.324,18.357,17.933,36612.0,002699
266,2017-02-09,18.368,18.357,18.753,18.17,78668.0,002699
267,2017-02-10,18.318,18.236,18.478,18.236,43037.0,002699
268,2017-02-13,18.181,18.808,19.072,18.17,98923.0,002699
