,date,open,close,high,low,volume,code
132,2016-08-01,7.507,7.428,7.507,7.278,62792.0,002135
133,2016-08-02,7.428,7.507,7.517,7.378,38375.0,002135
134,2016-08-03,7.468,7.517,7.537,7.468,37783.0,002135
135,2016-08-04,7.547,7.777,7.856,7.458,91467.0,002135
136,2016-08-05,7.677,7.637,7.777,7.637,69111.0,002135
137,2016-08-08,7.647,7.757,7.827,7.617,62767.0,002135
138,2016-08-09,7.747,7.817,7.856,7.717,62751.0,002135
139,2016-08-10,7.777,7.707,7.836,7.677,56283.0,002135
140,2016-08-11,7.657,7.647,7.767,7.637,54648.0,002135
141,2016-08-12,7.657,7.687,7.717,7.577,52033.0,002135
142,2016-08-15,7.687,7.817,7.846,7.677,84056.0,002135
143,2016-08-16,7.817,7.856,8.006,7.817,85396.0,002135
144,2016-08-17,7.827,7.876,7.956,7.787,75497.0,002135
145,2016-08-18,7.886,7.896,7.936,7.827,87142.0,002135
146,2016-08-19,7.956,8.066,8.215,7.956,186709.0,002135
147,2016-08-22,8.016,8.165,8.534,7.936,256230.0,002135
148,2016-08-23,8.126,8.086,8.215,8.026,142794.0,002135
149,2016-08-24,8.116,8.006,8.165,7.986,95892.0,002135
150,2016-08-25,7.986,7.836,7.986,7.757,117326.0,002135
151,2016-08-26,7.916,8.036,8.056,7.846,127112.0,002135
152,2016-08-29,8.046,8.016,8.086,7.976,83548.0,002135
153,2016-08-30,8.026,7.916,8.026,7.906,67458.0,002135
154,2016-08-31,7.896,7.866,7.946,7.807,60013.0,002135
155,2016-09-01,7.886,7.797,7.916,7.797,54041.0,002135
156,2016-09-02,7.787,7.797,7.886,7.697,75739.0,002135
157,2016-09-05,7.817,7.777,7.946,7.777,52439.0,002135
158,2016-09-06,7.757,7.797,7.807,7.517,88278.0,002135
159,2016-09-07,7.777,7.807,7.926,7.737,79182.0,002135
160,2016-09-08,7.827,7.827,7.916,7.757,80324.0,002135
161,2016-09-09,7.827,7.876,8.026,7.797,130879.0,002135
162,2016-09-12,7.717,7.557,7.797,7.537,107219.0,002135
163,2016-09-13,7.597,7.876,7.916,7.577,130184.0,002135
164,2016-09-14,7.807,7.687,7.866,7.647,74300.0,002135
165,2016-09-19,7.757,7.956,8.156,7.697,191914.0,002135
166,2016-09-20,7.906,8.165,8.275,7.856,312599.0,002135
167,2016-09-21,8.126,8.076,8.235,8.026,181379.0,002135
168,2016-09-22,8.165,8.136,8.235,8.026,193165.0,002135
169,2016-09-23,8.175,7.986,8.175,7.956,120207.0,002135
170,2016-09-26,8.056,8.026,8.275,8.006,247463.0,002135
171,2016-09-27,7.926,7.916,7.976,7.787,126490.0,002135
172,2016-09-28,7.896,7.836,7.916,7.797,60646.0,002135
173,2016-09-29,7.836,7.827,7.916,7.817,53153.0,002135
174,2016-09-30,7.807,7.807,7.876,7.777,51743.0,002135
175,2016-10-10,7.856,7.986,8.006,7.807,97834.0,002135
176,2016-10-11,8.026,8.076,8.096,7.926,117287.0,002135
177,2016-10-12,8.036,8.036,8.146,7.996,100290.0,002135
178,2016-10-13,8.195,8.086,8.225,8.076,128252.0,002135
179,2016-10-14,8.096,8.036,8.096,7.966,88371.0,002135
180,2016-10-17,8.066,7.896,8.096,7.896,81361.0,002135
181,2016-10-18,7.866,7.996,8.006,7.846,72294.0,002135
182,2016-10-19,7.986,7.976,8.066,7.936,79029.0,002135
183,2016-10-20,7.986,7.936,7.996,7.926,64190.0,002135
184,2016-10-21,7.916,7.926,7.976,7.827,81434.0,002135
185,2016-10-24,7.936,7.946,7.986,7.866,70131.0,002135
186,2016-10-25,7.946,8.006,8.026,7.936,66369.0,002135
187,2016-10-26,7.996,7.946,8.006,7.896,62399.0,002135
188,2016-10-27,7.936,7.916,7.946,7.876,46911.0,002135
189,2016-10-28,7.906,7.886,7.966,7.807,78890.0,002135
190,2016-10-31,7.846,7.767,7.846,7.727,67787.0,002135
191,2016-11-01,7.777,7.846,7.856,7.777,51650.0,002135
192,2016-11-02,7.846,7.707,7.876,7.687,71832.0,002135
193,2016-11-03,7.697,7.757,7.827,7.657,58195.0,002135
194,2016-11-04,7.817,7.777,7.896,7.757,48309.0,002135
195,2016-11-07,7.777,7.777,7.827,7.747,38108.0,002135
196,2016-11-08,7.807,7.807,7.827,7.757,51117.0,002135
197,2016-11-09,7.817,7.667,7.817,7.607,74249.0,002135
198,2016-11-10,7.777,7.797,7.797,7.717,58694.0,002135
199,2016-11-11,7.797,7.906,7.916,7.757,109047.0,002135
200,2016-11-14,7.976,7.996,8.046,7.946,166314.0,002135
201,2016-11-15,7.986,7.956,7.996,7.906,75855.0,002135
202,2016-11-16,7.956,7.966,8.036,7.936,81916.0,002135
203,2016-11-17,7.946,8.136,8.355,7.856,233831.0,002135
204,2016-11-18,8.175,8.106,8.315,8.106,203686.0,002135
205,2016-11-21,8.156,8.076,8.225,8.066,116868.0,002135
206,2016-11-22,8.106,8.096,8.116,7.996,118821.0,002135
207,2016-11-23,8.066,7.986,8.096,7.936,104225.0,002135
208,2016-11-24,7.986,7.966,8.046,7.916,64381.0,002135
209,2016-11-25,7.976,7.956,7.996,7.797,76366.0,002135
210,2016-11-28,7.956,7.986,8.036,7.956,69978.0,002135
211,2016-11-29,7.956,7.926,8.016,7.906,73468.0,002135
212,2016-11-30,7.926,7.956,8.026,7.916,65778.0,002135
213,2016-12-01,7.926,8.056,8.056,7.926,90192.0,002135
214,2016-12-02,8.056,7.827,8.066,7.807,88399.0,002135
215,2016-12-05,7.777,7.737,7.876,7.717,54908.0,002135
216,2016-12-06,7.737,7.757,7.846,7.737,41718.0,002135
217,2016-12-07,7.747,7.827,7.846,7.747,46469.0,002135
218,2016-12-08,7.827,7.747,7.827,7.737,43862.0,002135
219,2016-12-09,7.737,7.717,7.817,7.697,40509.0,002135
220,2016-12-12,7.697,7.288,7.747,7.278,88130.0,002135
221,2016-12-13,7.318,7.358,7.358,7.228,45230.0,002135
222,2016-12-14,7.358,7.358,7.488,7.348,44029.0,002135
223,2016-12-15,7.348,7.348,7.438,7.318,35643.0,002135
224,2016-12-16,7.328,7.408,7.438,7.328,28984.0,002135
225,2016-12-19,7.428,7.368,7.438,7.348,28747.0,002135
226,2016-12-20,7.298,7.358,7.388,7.298,22305.0,002135
227,2016-12-21,7.378,7.418,7.458,7.378,35493.0,002135
228,2016-12-22,7.438,7.428,7.468,7.388,42306.0,002135
229,2016-12-23,7.398,7.278,7.418,7.258,41223.0,002135
230,2016-12-26,7.268,7.298,7.298,7.178,36377.0,002135
231,2016-12-27,7.278,7.278,7.338,7.268,24805.0,002135
232,2016-12-28,7.308,7.268,7.308,7.228,33926.0,002135
233,2016-12-29,7.238,7.248,7.298,7.238,23775.0,002135
234,2016-12-30,7.248,7.258,7.328,7.228,28710.0,002135
235,2017-01-03,7.258,7.368,7.388,7.248,48064.0,002135
236,2017-01-04,7.348,7.398,7.428,7.348,42345.0,002135
237,2017-01-05,7.398,7.368,7.438,7.358,32528.0,002135
238,2017-01-06,7.348,7.398,7.398,7.338,30891.0,002135
239,2017-01-09,7.388,7.448,7.478,7.358,41872.0,002135
