,date,open,close,high,low,volume,code
136,2016-08-22,3.57,3.508,3.602,3.5,635970.0,600170
137,2016-08-23,3.523,3.57,3.61,3.523,568112.0,600170
138,2016-08-24,3.563,3.539,3.57,3.523,366485.0,600170
139,2016-08-25,3.523,3.468,3.523,3.437,640956.0,600170
140,2016-08-26,3.476,3.523,3.57,3.468,554346.0,600170
141,2016-08-29,3.531,3.555,3.594,3.461,659173.0,600170
142,2016-08-30,3.539,3.547,3.586,3.515,343471.0,600170
143,2016-08-31,3.555,3.539,3.555,3.515,288668.0,600170
144,2016-09-01,3.531,3.468,3.547,3.468,472163.0,600170
145,2016-09-02,3.468,3.461,3.492,3.437,335037.0,600170
146,2016-09-05,3.468,3.468,3.523,3.461,314229.0,600170
147,2016-09-06,3.484,3.547,3.57,3.445,598739.0,600170
148,2016-09-07,3.547,3.68,3.743,3.539,1807436.0,600170
149,2016-09-08,3.672,3.617,3.68,3.578,1051853.0,600170
150,2016-09-09,3.625,3.555,3.641,3.531,1032939.0,600170
151,2016-09-12,3.492,3.374,3.523,3.343,1349922.0,600170
152,2016-09-13,3.406,3.39,3.421,3.351,675754.0,600170
153,2016-09-14,3.359,3.359,3.374,3.343,327403.0,600170
154,2016-09-19,3.366,3.382,3.406,3.366,317159.0,600170
155,2016-09-20,3.398,3.39,3.413,3.382,263278.0,600170
156,2016-09-21,3.39,3.374,3.39,3.359,255513.0,600170
157,2016-09-22,3.39,3.39,3.413,3.374,388057.0,600170
158,2016-09-23,3.39,3.374,3.421,3.366,357753.0,600170
159,2016-09-26,3.366,3.304,3.366,3.296,526912.0,600170
160,2016-09-27,3.304,3.319,3.319,3.272,349667.0,600170
161,2016-09-28,3.327,3.296,3.327,3.296,163443.0,600170
162,2016-09-29,3.311,3.319,3.335,3.296,248498.0,600170
163,2016-09-30,3.311,3.319,3.351,3.304,284929.0,600170
164,2016-10-10,3.327,3.351,3.359,3.327,397516.0,600170
165,2016-10-11,3.351,3.382,3.39,3.343,331071.0,600170
166,2016-10-12,3.366,3.359,3.382,3.351,294857.0,600170
167,2016-10-13,3.359,3.39,3.39,3.351,326058.0,600170
168,2016-10-14,3.382,3.398,3.406,3.366,362631.0,600170
169,2016-10-17,3.406,3.406,3.468,3.374,678674.0,600170
170,2016-10-18,3.406,3.484,3.508,3.382,841638.0,600170
171,2016-10-19,3.476,3.476,3.515,3.461,504414.0,600170
172,2016-10-20,3.468,3.468,3.5,3.461,331786.0,600170
173,2016-10-21,3.476,3.539,3.625,3.476,1147599.0,600170
174,2016-10-24,3.563,3.68,3.759,3.547,1871853.0,600170
175,2016-10-25,3.688,3.61,3.688,3.594,940697.0,600170
176,2016-10-26,3.61,3.594,3.649,3.578,597279.0,600170
177,2016-10-27,3.594,3.57,3.594,3.531,480174.0,600170
178,2016-10-28,3.563,3.515,3.594,3.515,425741.0,600170
179,2016-10-31,3.492,3.523,3.539,3.492,281851.0,600170
180,2016-11-01,3.539,3.523,3.539,3.492,417980.0,600170
181,2016-11-02,3.523,3.476,3.523,3.461,462740.0,600170
182,2016-11-03,3.461,3.555,3.594,3.453,852179.0,600170
183,2016-11-04,3.547,3.531,3.594,3.523,553763.0,600170
184,2016-11-07,3.531,3.539,3.547,3.5,358123.0,600170
185,2016-11-08,3.555,3.555,3.578,3.515,475859.0,600170
186,2016-11-09,3.555,3.5,3.555,3.461,444069.0,600170
187,2016-11-10,3.523,3.547,3.586,3.523,498433.0,600170
188,2016-11-11,3.547,3.602,3.625,3.523,879149.0,600170
189,2016-11-14,3.617,3.665,3.672,3.594,1109714.0,600170
190,2016-11-15,3.657,3.617,3.665,3.602,575377.0,600170
191,2016-11-16,3.61,3.586,3.617,3.57,418234.0,600170
192,2016-11-17,3.586,3.806,3.947,3.57,1899037.0,600170
193,2016-11-18,3.774,3.798,3.876,3.696,1590721.0,600170
194,2016-11-21,3.782,3.845,3.955,3.767,1726412.0,600170
195,2016-11-22,3.845,3.837,3.923,3.814,1327100.0,600170
196,2016-11-23,3.845,3.774,3.869,3.743,949527.0,600170
197,2016-11-24,3.767,3.767,3.806,3.743,581692.0,600170
198,2016-11-25,3.774,3.814,3.814,3.68,843325.0,600170
199,2016-11-28,3.829,3.939,3.978,3.814,1804056.0,600170
200,2016-11-29,3.923,3.986,4.073,3.884,2126857.0,600170
201,2016-11-30,3.963,3.884,3.963,3.845,1141934.0,600170
202,2016-12-01,3.884,3.923,3.955,3.869,771418.0,600170
203,2016-12-02,3.923,3.806,3.939,3.759,1147294.0,600170
204,2016-12-05,3.727,3.68,3.79,3.665,861902.0,600170
205,2016-12-06,3.68,3.649,3.704,3.633,538268.0,600170
206,2016-12-07,3.649,3.696,3.696,3.617,477817.0,600170
207,2016-12-08,3.696,3.649,3.712,3.633,371060.0,600170
208,2016-12-09,3.649,3.672,3.704,3.617,509796.0,600170
209,2016-12-12,3.672,3.555,3.68,3.539,724535.0,600170
210,2016-12-13,3.539,3.578,3.594,3.523,455138.0,600170
211,2016-12-14,3.563,3.563,3.61,3.531,444398.0,600170
212,2016-12-15,3.531,3.555,3.61,3.531,552746.0,600170
213,2016-12-16,3.563,3.657,3.696,3.555,701175.0,600170
214,2016-12-19,3.657,3.672,3.704,3.625,479715.0,600170
215,2016-12-20,3.672,3.649,3.672,3.617,347623.0,600170
216,2016-12-21,3.641,3.688,3.696,3.633,599732.0,600170
217,2016-12-22,3.68,3.759,3.767,3.665,850015.0,600170
218,2016-12-23,3.751,3.712,3.751,3.696,499352.0,600170
219,2016-12-26,3.704,3.735,3.743,3.633,476950.0,600170
220,2016-12-27,3.743,3.806,3.884,3.743,1095000.0,600170
221,2016-12-28,3.774,3.759,3.837,3.743,612978.0,600170
222,2016-12-29,3.743,3.727,3.782,3.712,359517.0,600170
223,2016-12-30,3.743,3.712,3.759,3.688,347196.0,600170
224,2017-01-03,3.727,3.767,3.782,3.712,396107.0,600170
225,2017-01-04,3.767,3.774,3.79,3.735,451452.0,600170
226,2017-01-05,3.774,3.759,3.782,3.743,312047.0,600170
227,2017-01-06,3.767,3.829,3.9,3.759,1022016.0,600170
228,2017-01-09,3.814,3.884,3.916,3.814,754004.0,600170
229,2017-01-10,3.884,3.853,3.884,3.845,406257.0,600170
230,2017-01-11,3.837,3.845,3.9,3.806,533015.0,600170
231,2017-01-12,3.837,3.814,3.876,3.806,442614.0,600170
232,2017-01-13,3.806,3.806,3.814,3.727,604564.0,600170
233,2017-01-16,3.782,3.861,3.884,3.696,1309734.0,600170
234,2017-01-17,3.829,3.853,3.853,3.79,315882.0,600170
235,2017-01-18,3.845,3.845,3.892,3.829,393704.0,600170
236,2017-01-19,3.884,3.837,3.908,3.829,517134.0,600170
237,2017-01-20,3.821,3.861,3.861,3.814,344355.0,600170
238,2017-01-23,3.861,3.861,3.892,3.853,336432.0,600170
239,2017-01-24,3.869,3.869,3.876,3.845,282425.0,600170
240,2017-01-25,3.869,3.9,3.9,3.853,440078.0,600170
241,2017-01-26,3.892,3.884,3.916,3.869,295130.0,600170
242,2017-02-03,3.9,3.853,3.9,3.837,262791.0,600170
