,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603666,亿嘉和,0.75,,,17.91,,3951.4,,,08-24
1,002899,英派斯,0.46,,,9.03,,4104.6,,,08-23
2,603013,亚普股份,0.4,,,8.75,,17828.43,,,08-23
3,603880,南卫股份,0.37,,,10.43,,2782.65,,,08-23
4,603259,药明康德,0.79,,,13.03,,74244.42,,,08-22
5,603657,春光科技,0.55,,,14.3,,3932.71,,,08-22
6,300747,锐科激光,1.47,,,38.68,,14098.33,,,08-21
7,603056,德邦股份,0.14,,,4.57,,11818.12,,,08-21
8,300454,深信服,0.31,,,8.99,,11058.66,,,08-20
9,603916,苏博特,0.3,,,6.75,,6937.51,,,08-20
10,603897,长城科技,0.58,,,11.88,,7822.27,,,08-18
11,603711,香飘飘,-0.08,,,-2.53,,-3050.81,,,08-17
12,603283,赛腾股份,0.28,,,10.29,,3377.4,,,08-16
13,300745,欣锐科技,0.36,,,4.94,,3082.12,,,08-15
14,601138,工业富联,,,,6.67,,532497.9,,,08-14
15,603650,彤程新材,0.28,,,13.49,,14803.25,,,08-14
16,300684,中石科技,-0.01,,,-0.13,,-42.42,,,08-10
17,603587,地素时尚,0.8,,,27.56,,27265.62,,,07-17
18,601606,长城军工,0.02,,,0.72,-0.07,1092.63,,,07-17
19,603713,密尔克卫,0.33,,5.89,5.96,0.03,3824.43,,,07-12
20,603680,今创集团,0.58,,4.56,13.58,-0.29,21900.96,,,01-31
21,002927,泰永长征,0.3,,4.55,6.36,-0.21,2083.15,,,01-30
22,603712,七一二,0.08,82.79,2.25,3.55,-0.16,5282.2,82.63,,01-30
23,603709,中源家居,0.66,,2.81,26.81,0.8,3988.31,,,01-25
24,603876,鼎胜新材,0.26,,,4.39,-0.87,9471.25,,,01-23
25,603871,嘉友国际,1.89,58.74,8.01,26.72,-0.01,11334.28,58.76,,01-23
26,603156,养元饮品,2.02,-23.08,12.09,16.73,1.18,100029.05,-23.08,,01-22
27,603214,爱婴室,0.45,,4.46,10.53,0.98,3350.17,,,01-19
28,603706,东方环宇,0.42,,,9.94,0.04,5008.09,,,01-19
29,300634,彩讯股份,0.12,20.0,2.17,5.81,-0.23,4260.94,43.3,,01-17
30,603516,淳中科技,0.67,-48.06,3.53,18.77,-0.74,4719.15,10.11,,01-15
31,300739,明阳电路,0.64,,5.11,12.56,0.71,5918.01,,,01-15
32,603773,沃格光电,1.41,1181.82,8.82,17.33,1.46,9976.6,1190.22,,01-12
33,603596,伯特利,0.33,-40.0,,14.01,0.07,12297.64,40.47,,01-09
34,300737,科顺股份,0.24,-73.63,2.91,8.28,-0.06,10815.37,-40.14,,01-08
35,603895,天永智能,0.66,,4.62,15.3,0.22,3805.7,,,01-08
36,300738,奥飞数据,0.67,28.85,4.9,14.61,0.75,3269.87,35.74,10派2.1,01-08
37,603301,振德医疗,0.62,,,10.05,0.98,4629.95,,,01-05
38,603356,华菱精工,0.32,-15.79,3.05,10.54,0.49,3181.03,-15.56,,01-03
39,002931,锋龙股份,0.35,,2.96,12.64,0.65,2344.93,,,01-03
40,603059,倍加洁,0.72,-14.29,,15.42,0.55,4334.09,-13.74,,12-29
41,002932,明德生物,0.68,11.48,4.21,17.76,0.38,3413.39,12.2,,12-29
42,600929,湖南盐业,0.11,,,4.94,0.04,8389.64,,,12-27
43,300746,汉嘉设计,0.14,,3.55,3.96,0.06,2174.71,,,12-27
44,002925,盈趣科技,1.16,,2.99,44.83,1.19,44018.56,,,12-26
45,002929,润建通信,0.61,27.08,,10.21,-2.85,10174.8,34.14,,12-26
46,300736,百华悦邦,0.51,-8.93,4.52,10.73,0.34,2095.09,-8.25,,12-26
47,300741,华宝股份,0.83,,8.88,9.84,0.98,46230.29,,,12-26
48,603486,科沃斯,0.45,,2.93,16.79,0.34,16191.76,,,12-22
49,300742,越博动力,0.57,850.0,10.67,5.34,-2.31,3367.38,881.0,,12-20
50,601838,成都银行,0.51,,,7.4,4.19,165226.5,,,12-19
51,002923,润都股份,0.62,,5.93,10.98,0.6,4627.48,,,12-18
52,300664,鹏鹞环保,0.3,,5.31,5.82,0.09,12005.04,,,12-18
53,002921,联诚精密,0.39,,,5.59,0.07,2366.92,,,12-13
54,300624,万兴科技,0.58,,3.57,14.47,0.51,3466.78,,,12-13
55,002922,伊戈尔,0.39,,4.82,8.36,0.47,3836.01,,,12-12
56,603080,新疆火炬,0.35,-38.6,4.53,7.99,0.31,3687.89,-38.93,,12-12
57,603329,上海雅仕,0.36,,,9.55,-0.26,3565.92,,,12-12
58,603655,朗博科技,0.21,,3.76,5.73,0.14,1673.81,,,12-11
59,300735,光弘科技,0.31,29.17,2.6,13.0,0.67,8200.0,46.0,,12-11
60,300733,西菱动力,0.36,0.0,4.66,7.99,0.37,4294.21,-1.25,,12-06
61,002920,德赛西威,0.79,,3.31,25.35,0.22,35753.42,,,12-05
62,002918,蒙娜丽莎,1.03,,,14.29,2.09,12184.63,,,11-29
63,002919,名臣健康,0.37,,4.82,7.53,-1.0,2248.11,,,11-29
64,603045,福达合金,0.31,13.86,6.38,4.94,-0.91,2319.58,13.88,,11-28
65,603477,振静股份,0.15,,2.55,5.92,,2635.07,,,11-28
66,300732,设研院,1.26,231.58,12.68,10.16,0.19,6802.71,230.07,,11-28
67,603161,科华控股,0.57,3.64,,9.73,0.53,5737.24,3.97,,11-27
68,603890,春秋电子,0.74,,4.91,16.19,0.83,7554.48,,,11-21
69,002917,金奥博,0.36,-10.0,3.31,11.34,0.1,3012.0,89.74,,11-21
70,300731,科创新源,0.51,21.43,3.17,16.17,0.12,3333.77,21.09,,11-20
71,603619,中曼石油,0.58,16.0,,15.22,,21057.85,16.75,,11-16
72,300730,科创信息,-0.14,,2.32,-5.87,-1.15,-1001.3,,,11-14
73,603917,合力科技,0.44,,5.1,8.95,0.32,3718.22,,,11-14
74,002915,中欣氟材,0.28,,3.4,8.28,0.22,2320.05,,,11-14
75,300729,乐歌股份,0.49,0.0,5.69,8.92,0.56,3140.58,2.25,,11-13
76,603848,好太太,0.2,,1.89,11.03,0.32,7133.77,,,11-13
77,002913,奥士康,0.69,,7.75,9.28,0.96,7423.91,,,11-13
78,300750,宁德时代,0.97,,11.58,10.79,-0.32,185693.51,,,11-10
79,300644,南京聚隆,0.42,,8.07,4.99,0.52,2003.63,,,11-08
80,002912,中新赛克,0.72,,11.6,6.16,-0.61,3587.08,,,11-07
81,300740,御家汇,0.46,,3.6,13.49,0.87,5462.89,,,11-07
82,300727,润禾材料,0.17,-10.53,3.52,4.86,-0.42,1223.77,-4.97,,11-07
83,603685,晨丰科技,0.76,28.81,5.1,15.44,0.31,5703.06,28.25,,11-06
84,603506,南都物业,0.6,,,14.84,0.56,3566.18,,,10-31
85,603661,恒林股份,1.38,-18.82,10.02,14.82,1.08,10366.38,-18.91,,10-31
86,002911,佛燃股份,0.39,,3.05,12.03,0.51,19480.18,,,10-31
87,603365,水星家纺,0.5,,4.65,10.94,-0.17,9901.79,,,10-31
88,300726,宏达电子,0.27,,2.39,11.27,0.12,9553.62,,,10-31
89,601019,山东出版,0.37,,2.95,12.44,0.1,67528.69,,,10-30
