,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
464,002643,万润股份,0.2419,0.0265,1.1414,0.0872,17.3951
465,600211,西藏药业,0.2419,0.0323,1.163,0.1066,12.2295
466,002882,金龙羽,0.2418,,3.6341,,
467,600750,江中药业,0.2411,0.0399,1.0776,0.2607,26.1341
468,002106,莱宝高科,0.2405,0.0273,16.3696,0.1765,27.3111
469,600050,中国联通,0.2398,0.028,38.2049,0.046,5.2648
470,002250,联化科技,0.2398,0.0365,2.0649,0.1263,21.7168
471,002238,天威视讯,0.2396,0.0276,1.432,0.1028,11.1022
472,002612,朗姿股份,0.2387,0.0225,2.3485,0.1355,13.5486
473,601058,赛轮金宇,0.2383,0.041,5.5461,0.0627,8.1308
474,600258,首旅酒店,0.237,0.0219,4.701,0.0343,5.0834
475,600746,江苏索普,0.2363,0.0591,26.4937,0.2361,25.5724
476,603023,威帝股份,0.2359,0.0233,0.4801,0.2956,29.562
477,603398,邦宝益智,0.2358,0.0261,1.0386,0.3944,46.8562
478,600595,中孚实业,0.2357,0.0297,8.579,0.0384,5.265
479,603085,天成自控,0.2356,0.0299,2.8016,0.1125,11.6956
480,300194,福安药业,0.2354,0.02,1.6231,0.151,19.8832
481,002455,百川股份,0.2345,0.0494,10.1314,0.0836,8.6525
482,300280,紫天科技,0.2344,0.0177,3.0193,0.0873,8.8794
483,600805,悦达投资,0.2316,0.0079,2.7317,0.0231,2.3867
484,300497,富祥股份,0.2315,0.0367,1.0038,0.0987,14.061
485,300436,广生堂,0.2313,0.0305,0.6691,0.2683,34.8004
486,603385,惠达卫浴,0.2311,,3.2631,,
487,603718,海利生物,0.2305,0.0133,0.6728,0.0525,14.0217
488,000022,深赤湾A,0.2302,0.0147,0.6609,0.0666,10.9201
489,600561,江西长运,0.2297,0.0276,7.9534,0.0405,8.4871
490,002053,云南能投,0.2289,0.0179,2.1319,0.0349,5.7754
491,603993,洛阳钼业,0.2288,0.008,1.9664,0.0177,3.0186
492,600611,大众交通,0.2276,0.0079,1.1067,0.021,2.5687
493,000850,华茂股份,0.2276,0.0098,9.4557,0.0257,6.5025
494,300183,东软载波,0.2275,0.0138,0.5999,0.2143,27.5736
495,002391,长青股份,0.2263,0.0251,2.379,0.1286,13.9772
496,002283,天润曲轴,0.2261,0.0146,3.0097,0.0475,4.841
497,600563,法拉电子,0.2257,0.0346,0.9216,0.3218,33.7749
498,603360,百傲化学,0.2255,,1.0093,,
499,603556,海兴电力,0.2254,,0.6636,,
500,000725,京东方A,0.2251,0.017,27.0226,0.034,11.7458
501,300461,田中精机,0.2247,0.0197,1.216,0.213,23.2899
502,300138,晨光生物,0.2239,0.055,6.035,0.2045,22.9576
503,600933,爱柯迪,0.2234,0.0446,0.8813,0.1847,48.753
504,601717,郑煤机,0.2228,0.0182,18.9687,0.0929,9.4441
505,300467,迅游科技,0.2212,0.0124,0.5131,0.0366,3.6625
506,300094,国联水产,0.2209,0.0432,,0.1338,14.3806
507,002260,*ST德奥,0.2207,0.0347,,0.0585,6.1516
508,002581,未名医药,0.22,0.0231,0.767,0.2407,28.4314
509,002686,亿利达,0.2195,0.0243,1.1493,0.0779,7.8494
510,603989,艾华集团,0.2195,0.0322,1.2491,0.2352,25.019
511,002739,万达电影,0.2194,0.0424,1.4329,0.1112,24.6042
512,002222,福晶科技,0.2193,0.0212,0.9234,0.2335,36.5694
513,600978,宜华生活,0.2187,0.0136,1.3507,0.0289,4.2893
514,600720,祁连山,0.2186,0.0082,,0.0162,2.6918
515,002524,光正集团,0.2182,0.0119,,0.0231,2.976
516,300121,阳谷华泰,0.2178,0.0373,2.9488,0.0626,6.3567
517,603617,君禾股份,0.2173,,1.7119,,
518,002499,科林环保,0.2169,0.0164,5.4906,0.0583,7.3655
519,002002,鸿达兴业,0.2167,0.0228,2.5456,0.0322,4.3483
520,002611,东方精工,0.2159,0.0226,3.9189,0.0516,6.1148
521,002475,立讯精密,0.2158,0.0393,2.2946,0.0838,8.7006
522,603035,常熟汽饰,0.2153,,1.265,,
523,002492,恒基达鑫,0.2153,0.0071,1.3672,0.032,3.7448
524,603069,海汽集团,0.2152,,2.9012,,
525,300139,晓程科技,0.2149,0.0095,2.7754,0.1074,12.4128
526,002448,中原内配,0.2147,0.0243,1.153,0.1199,24.8863
527,300481,濮阳惠成,0.2147,0.0345,1.2811,0.4891,66.8735
528,000403,ST生化,0.2144,0.0276,2.3497,0.0479,5.3103
529,600276,恒瑞医药,0.2144,0.0469,0.8377,0.4967,53.8533
530,600845,宝信软件,0.2128,0.0287,2.3466,0.0801,8.3697
531,300602,飞荣达,0.2127,,1.3824,,
532,002427,*ST尤夫,0.2126,0.0315,4.2924,0.1188,13.0299
533,000526,紫光学大,0.2118,0.004,,0.007,0.7043
534,601107,四川成渝,0.2115,0.0105,0.9892,0.0178,8.1215
535,600975,新五丰,0.2114,0.0446,1.6308,0.1379,23.6692
536,002715,登云股份,0.2107,0.021,,0.0602,6.1905
537,300635,达安股份,0.2105,,1.5596,,
538,603050,科林电气,0.2101,,4.1494,,
539,600019,宝钢股份,0.2098,0.0283,4.8108,0.0535,6.5603
540,300606,金太阳,0.2092,,1.2497,,
541,002447,晨鑫科技,0.2092,0.0017,1.5869,0.0068,1.4022
