,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300724,捷佳伟创,0.17,54.55,2.5,6.92,0.24,4013.69,49.73,10派1.67,07-23
1,601606,长城军工,0.2,33.33,2.45,8.64,0.42,11575.81,29.88,,07-17
2,603657,春光科技,,,,32.47,3.23,6732.14,42.18,,07-10
3,601869,长飞光纤,0.88,-12.0,5.2,18.63,0.81,56326.11,15.41,,07-02
4,002932,明德生物,0.73,-78.65,2.31,44.5,0.9,3559.65,65.26,,06-27
5,603713,密尔克卫,0.4,,4.47,14.26,0.34,5135.26,-10.52,,06-25
6,603706,东方环宇,0.86,10.26,,32.13,0.77,9501.21,19.6,,06-19
7,603105,芯能科技,0.61,190.48,1.08,87.44,0.3,12036.36,539.03,10转18,06-19
8,603693,江苏新能,0.36,-47.83,,5.76,0.87,14223.1,-29.05,,06-12
9,603650,彤程新材,,,,19.2,,7661.52,-46.9,,06-06
10,300747,锐科激光,0.26,85.71,1.94,14.04,-0.04,2464.33,83.44,,06-05
11,603666,亿嘉和,0.39,-20.18,1.94,23.14,1.23,1351.43,39.68,,05-29
12,300750,宁德时代,0.78,,0.89,130.37,0.47,93064.64,1609.94,,05-22
13,601330,绿色动力,0.14,-12.5,1.81,8.35,-0.06,15098.59,6.29,,05-21
14,601138,工业富联,,,,27.67,,1435034.4,,,05-14
15,300746,汉嘉设计,0.31,-8.82,3.11,9.1,0.26,4817.4,-10.16,,05-08
16,603486,科沃斯,1.15,6.48,3.84,26.63,3.16,17877.33,13.66,,05-08
17,300745,欣锐科技,1.19,,2.46,74.0,0.02,9190.38,654.03,,05-03
18,300454,深信服,0.95,42.15,3.06,29.07,1.12,33004.41,41.74,,04-25
19,603045,福达合金,0.56,-10.69,5.78,10.08,1.06,4105.96,-10.7,10派2,04-25
20,603013,亚普股份,0.87,,,18.53,1.23,39065.99,,,04-16
21,603259,药明康德,0.39,-23.53,,14.45,4.76,34896.77,-24.38,,04-16
22,603348,文灿股份,0.96,74.55,5.29,23.12,1.19,15053.96,90.94,10派1.5,04-04
23,300743,天地数码,0.71,24.56,2.0,40.98,0.78,3485.56,26.12,,04-02
24,300742,越博动力,0.51,,4.28,20.95,-2.14,2635.19,384.72,,04-02
25,603733,仙鹤股份,0.31,,,10.26,-0.02,13795.4,-24.92,,03-28
26,603876,鼎胜新材,0.5,85.19,,11.56,1.99,16128.33,82.69,,03-27
