,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,002670,国盛金控,2786.613,0.0678,,0.1164,18.0172
1,300059,东方财富,4.1198,0.065,5.2532,0.0984,12.0816
2,000667,美好置业,3.9335,0.0762,9.3219,0.1183,16.6246
3,600515,海航基础,1.9943,0.0598,5.7615,0.1104,15.6065
4,000576,广东甘化,1.6964,0.257,,4.7885,479.9504
5,000809,铁岭新城,1.6893,0.0034,3.5705,0.0073,1.5657
6,002305,南国置业,1.5279,0.0387,14.7874,0.0487,8.4554
7,000720,*ST新能,1.2778,0.157,1.6232,0.2238,32.5949
8,600565,迪马股份,1.2022,0.0659,19.4264,0.0788,9.7082
9,002167,东方锆业,0.9699,0.1119,23.184,0.1801,26.0904
10,600251,冠农股份,0.9053,0.2724,11.4643,0.608,69.5812
11,600777,新潮能源,0.8999,0.0836,8.0135,0.2117,70.3667
12,002039,黔源电力,0.8564,0.0544,3.9734,0.0741,28.9497
13,600506,香梨股份,0.8121,0.0631,,1.1938,428.4138
14,000886,海南高速,0.8081,0.0644,2.8501,0.3471,38.1177
15,600368,五洲交通,0.7647,0.0605,2.6989,0.0889,26.0059
16,002618,丹邦科技,0.7259,0.049,7.2246,0.1575,25.2247
17,600020,中原高速,0.7098,0.037,2.9237,0.0487,17.8528
18,000791,甘肃电投,0.6782,0.0321,4.7125,0.0468,37.0082
19,000615,京汉股份,0.6698,0.0686,79.354,0.0967,15.1074
20,002287,奇正藏药,0.656,0.1403,1.8719,0.5759,63.9789
21,002818,富森美,0.6496,0.087,1.2336,0.4106,42.0295
22,300215,电科院,0.6336,0.0535,3.9819,0.1082,18.0157
23,603377,东方时尚,0.6297,0.0907,3.1572,0.22,26.8076
24,002344,海宁皮城,0.6107,0.0463,2.4465,0.1575,19.2775
25,000688,国城矿业,0.597,0.1586,1.6135,1.4679,167.3886
26,601985,中国核电,0.5961,0.034,2.2844,0.0454,25.9407
27,600548,深高速,0.5958,0.0359,1.5332,0.0565,19.6423
28,300548,博创科技,0.5917,0.1014,2.4,1.2382,159.995
29,600510,黑牡丹,0.5837,0.0507,15.583,0.077,11.3866
30,600674,川投能源,0.578,0.0063,0.1654,0.0233,2.6382
31,000514,渝开发,0.5767,0.0242,6.0231,0.053,10.4684
32,601101,昊华能源,0.5634,0.0806,2.3974,0.1963,46.8168
33,300144,宋城演艺,0.5612,0.0909,1.2859,0.643,65.0326
34,002659,凯文教育,0.5508,0.0155,,0.048,4.7969
35,601518,吉林高速,0.5436,0.0302,1.6464,0.069,45.1176
36,000544,中原环保,0.5389,0.0372,1.4656,0.1871,33.2618
37,600519,贵州茅台,0.531,0.1365,1.0481,0.5308,53.1072
38,300568,星源材质,0.5259,0.0592,1.1474,0.125,30.5604
39,600784,鲁银投资,0.5254,0.1043,5.4185,0.1774,18.1586
40,601368,绿城水务,0.5226,0.0389,2.0398,0.0621,27.7622
41,600622,光大嘉宝,0.4899,0.0537,2.3538,0.0847,15.6361
42,600338,西藏珠峰,0.4875,0.1235,1.0175,0.2475,39.6539
43,603817,海峡环保,0.4834,0.0337,1.8529,0.0789,12.627
44,603444,吉比特,0.4799,0.1111,0.8858,0.4987,56.5792
45,000421,南京公用,0.4785,0.0741,6.8718,0.1075,11.5829
46,002625,光启技术,0.4772,0.0112,3.3906,0.1198,19.184
47,002535,林州重机,0.4758,0.0585,6.8101,0.0961,10.8021
48,002451,摩恩电气,0.4649,0.0845,11.2499,0.1506,17.1142
49,600004,白云机场,0.4638,0.0616,2.4108,0.1411,16.9726
50,601918,新集能源,0.4631,0.0685,2.525,0.0864,17.1544
51,603136,天目湖,0.4612,0.0936,1.77,0.4183,74.5629
52,002213,特尔佳,0.4589,0.0573,11.1507,0.4074,40.7443
53,603626,科森科技,0.4543,0.109,5.3505,0.2191,26.1132
54,600325,华发股份,0.4537,0.0274,3.2177,0.0323,5.2369
55,600703,三安光电,0.4452,0.0691,1.0027,0.2959,93.658
56,300612,宣亚国际,0.4362,0.1332,25.0516,0.6142,61.4232
57,002034,旺能环境,0.4346,0.0305,1.2995,0.0822,26.8775
58,002320,海峡股份,0.4321,0.0688,1.4321,0.862,109.1012
59,300040,九洲电气,0.4252,0.0604,4.7305,0.1178,17.3126
60,600886,国投电力,0.4244,0.0351,2.4409,0.0494,20.5758
61,002033,丽江旅游,0.4233,0.0531,1.1595,0.5719,58.5116
62,300401,花园生物,0.4123,0.0884,0.8636,1.48,153.8998
63,300595,欧普康视,0.4088,0.0671,0.8577,0.5014,52.759
64,000758,中色股份,0.408,0.1373,12.8059,0.2006,26.2263
65,603429,集友股份,0.4026,0.0943,1.3325,0.3468,37.9965
66,601016,节能风电,0.4004,0.0235,1.2554,0.0369,11.6807
67,300312,邦讯技术,0.3996,0.0565,9.8491,0.1428,14.3627
68,300446,乐凯新材,0.3941,0.0779,1.0305,1.0412,172.5452
69,603896,寿仙谷,0.3914,0.0802,1.644,0.4306,78.2181
70,600516,方大炭素,0.388,0.177,0.6969,0.8364,95.6415
71,300628,亿联网络,0.3863,0.1012,0.7916,2.1887,218.8706
72,002275,桂林三金,0.3831,0.0932,1.0739,0.6869,92.5244
73,300357,我武生物,0.3809,0.0935,0.8015,1.6503,182.5887
74,300529,健帆生物,0.3802,0.0966,0.8267,0.6604,78.8886
75,002751,易尚展示,0.3786,0.0454,12.058,0.0673,12.6402
76,603881,数据港,0.3747,0.0726,1.8418,0.1645,29.144
77,000929,兰州黄河,0.368,0.0719,,0.3316,33.7837
78,603838,四通股份,0.364,0.0826,1.9553,0.5203,102.7171
79,002233,塔牌集团,0.3613,0.1077,1.2707,0.7379,76.913
80,300132,青松股份,0.3588,0.1686,1.3819,0.5871,60.1067
81,600017,日照港,0.3583,0.0423,2.2612,0.1003,18.5143
82,603758,秦安股份,0.3533,0.0542,,1.1123,111.2384
83,601158,重庆水务,0.3532,0.0454,1.0125,0.1914,37.2881
84,600223,鲁商置业,0.3523,0.017,17.8513,0.018,2.0779
85,600050,中国联通,0.3511,0.0948,8.8861,0.2178,23.8692
86,603305,旭升股份,0.3476,0.1078,1.2892,0.4983,51.1646
87,002821,凯莱英,0.3448,0.0953,1.8632,0.5039,65.4692
88,002805,丰元股份,0.3422,0.0697,3.5231,0.5066,51.5264
89,002387,维信诺,0.3407,0.004,4.4459,0.0093,2.1426
90,600225,天津松江,0.3393,0.0196,,0.0223,2.8217
91,002925,盈趣科技,0.3381,0.1129,1.1174,0.7335,80.7713
92,000908,景峰医药,0.3378,0.0696,4.7315,0.166,34.1146
93,000537,广宇发展,0.3365,0.0449,1.9974,0.0528,6.8693
94,002759,天际股份,0.3346,0.036,4.5094,0.3223,33.886
95,000722,湖南发展,0.3338,0.0136,0.9692,0.1968,51.9817
96,002836,新宏泽,0.3306,0.059,2.2392,0.2988,31.1229
97,300653,正海生物,0.3296,0.0646,0.8673,0.6477,91.7517
98,600269,赣粤高速,0.329,0.0208,1.2042,0.0398,12.4745
99,000915,山大华特,0.3269,0.0903,1.4483,0.531,54.6582
100,603166,福达股份,0.325,0.0728,3.7766,0.1857,21.7374
101,000089,深圳机场,0.3233,0.0424,1.5095,0.2812,28.1784
102,300258,精锻科技,0.3226,0.0789,1.31,0.2427,25.9746
103,603658,安图生物,0.3224,0.1217,1.0898,0.4494,52.8635
104,600665,天地源,0.3224,0.0425,4.5733,0.0492,8.3772
105,002508,老板电器,0.3208,0.1304,1.6988,0.3321,33.9143
106,002489,浙江永强,0.3205,0.11,,0.2161,21.6423
107,000426,兴业矿业,0.3203,0.0386,0.9859,0.1012,21.4545
108,002681,奋达科技,0.3153,0.0522,3.0975,0.1936,27.7343
109,600176,中国巨石,0.3123,0.0576,1.2318,0.1126,15.1743
110,603080,新疆火炬,0.3122,0.0492,1.3601,0.4931,50.7316
111,600867,通化东宝,0.3103,0.0831,0.8479,0.6181,65.3407
112,002365,永安药业,0.3101,0.0903,1.4881,0.6493,70.466
113,300530,达志科技,0.3069,0.0415,0.7752,0.4489,77.9032
114,002827,高争民爆,0.3047,0.0528,1.7066,0.4929,52.7923
115,300593,新雷能,0.3044,0.0671,2.895,0.1821,24.5449
116,000582,北部湾港,0.3023,0.0371,1.5858,0.0818,16.2562
117,600988,赤峰黄金,0.3001,0.0591,4.2876,0.1361,21.3529
118,300396,迪瑞医疗,0.2992,0.0697,1.0678,0.341,41.0436
119,000958,东方能源,0.2985,0.042,3.6363,0.0572,13.2246
120,300623,捷捷微电,0.2974,0.0549,0.923,0.532,61.4331
121,002001,新和成,0.2933,0.0692,0.6598,0.3017,40.3814
122,002901,大博医疗,0.2924,0.0728,0.5772,0.6549,80.7801
123,600563,法拉电子,0.2914,0.0931,1.1099,0.6916,72.6555
124,000589,黔轮胎A,0.2884,0.0969,31.6629,0.1454,16.8158
125,600805,悦达投资,0.2875,0.0272,3.2427,0.0759,8.3722
126,002138,顺络电子,0.2865,0.0651,1.4108,0.3814,41.3944
127,002524,光正集团,0.2864,0.0336,,0.0526,6.5871
128,600217,中再资环,0.2864,0.0651,2.0482,0.1042,13.9394
129,603811,诚意药业,0.2817,0.0995,1.574,0.6857,70.6714
130,002690,美亚光电,0.2812,0.0585,0.8156,0.4157,51.0076
131,600309,万华化学,0.281,0.124,1.0261,0.252,30.8468
132,603585,苏利股份,0.2779,0.103,1.0784,1.1501,121.9342
133,002549,凯美特气,0.2778,0.0542,1.4557,0.2143,28.4038
134,600791,京能置业,0.2761,0.0196,7.8071,0.0344,7.3398
135,002604,*ST龙力,0.275,0.0357,,0.0321,4.3488
136,601020,华钰矿业,0.2749,0.0493,1.3776,0.1245,24.5448
137,600161,天坛生物,0.2734,0.0714,0.9717,0.5381,54.5364
138,000088,盐田港,0.2725,0.0052,0.2699,0.0208,11.2793
139,300146,汤臣倍健,0.2724,0.0965,0.8764,0.7791,85.4162
140,002541,鸿路钢构,0.2723,0.086,5.2583,0.1487,16.172
141,601619,嘉泽新能,0.2722,0.0164,0.9329,0.0228,12.8572
142,300685,艾德生物,0.2714,0.0723,0.7897,0.9135,100.2498
143,002626,金达威,0.2711,0.0976,0.7394,0.3798,58.2223
144,600426,华鲁恒升,0.2699,0.1061,1.1242,0.2669,50.1543
145,600566,济川药业,0.2687,0.1456,1.2129,0.4218,57.1672
146,600802,福建水泥,0.2668,0.0883,1.2797,0.1314,13.862
147,002557,洽洽食品,0.2665,0.1126,2.8215,0.3835,39.7784
148,600844,丹化科技,0.2661,0.0474,,0.2221,23.646
149,000519,中兵红箭,0.2643,0.0555,3.507,0.2526,29.685
150,600211,西藏药业,0.2629,0.0504,0.9122,0.5006,54.5634
151,002316,亚联发展,0.2627,0.149,3.065,0.2138,25.9484
152,603040,新坐标,0.2616,0.0544,0.7412,0.489,52.1119
153,600585,海螺水泥,0.2612,0.0961,0.8976,0.4707,66.2925
154,600256,广汇能源,0.2586,0.0327,1.9376,0.0513,9.3225
155,600305,恒顺醋业,0.2584,0.078,1.7004,0.2772,33.0879
156,002191,劲嘉股份,0.2581,0.0505,0.9782,0.2451,25.063
157,601216,君正集团,0.2575,0.0466,0.7771,0.1607,21.9076
158,600660,福耀玻璃,0.2573,0.0733,1.3884,0.1584,19.4638
159,002677,浙江美大,0.2569,0.0924,0.9911,0.3532,35.5937
160,300434,金石东方,0.2567,0.0368,2.1791,0.2699,36.4276
161,002146,荣盛发展,0.2561,0.0242,1.7993,0.0285,3.5959
162,300033,同花顺,0.2557,0.038,0.7581,0.1562,15.7139
163,300558,贝达药业,0.2557,0.0484,2.3705,0.152,24.4647
