,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300724,捷佳伟创,0.29,,,,,6899.36,,,07-23
1,601869,长飞光纤,0.32,,,5.17,-0.32,22119.12,,,07-19
2,603657,春光科技,0.15,,,4.11,,1070.67,,,07-10
3,002932,明德生物,,,,,,,,,06-27
4,603713,密尔克卫,0.13,,,,,1436.38,,,06-25
5,603105,芯能科技,-0.03,,,,,-1381.07,,,06-19
6,601066,中信建投,0.14,,,,,100539.07,,,06-19
7,603693,江苏新能,0.2,,,,,10021.02,,,06-12
8,601330,绿色动力,0.06,,,2.73,-0.09,5783.2,,,06-08
9,601138,工业富联,,,,,,253818.8,,,06-07
10,603587,地素时尚,0.42,,,,,14434.36,,,06-04
11,603666,亿嘉和,-0.19,,,,,-1016.09,,,05-29
12,300750,宁德时代,-0.02,,,-0.07,,-1168.79,,,05-22
13,603045,福达合金,0.06,,,1.01,-1.87,466.72,,,05-16
14,603013,亚普股份,0.09,,,2.03,0.18,3926.12,,,05-08
15,300746,汉嘉设计,0.05,,,1.36,,735.03,,,05-08
16,300742,越博动力,-0.14,,,-1.31,-1.35,-798.53,,,05-07
17,603917,合力科技,0.11,,,2.19,,890.54,,,04-28
18,603301,振德医疗,0.29,,,4.91,,2202.76,,,04-28
19,601019,山东出版,0.11,,,3.85,,19998.63,,,04-28
20,601108,财通证券,0.11,,,2.47,,38491.68,,,04-28
21,603876,鼎胜新材,0.09,,,1.83,,4543.55,,,04-28
22,002901,大博医疗,0.16,,,9.38,,5646.52,,,04-28
23,603776,永安行,0.37,,,4.85,,2683.93,,,04-28
24,603848,好太太,0.09,125.0,,4.95,,3099.63,105.33,,04-28
25,603378,亚士创能,0.04,,,0.86,,514.93,,,04-28
26,002884,凌霄泵业,0.65,,,6.57,,3785.85,,,04-28
27,603607,京华激光,0.35,,,7.92,,2415.74,,,04-28
28,603683,晶华新材,0.09,,,1.87,,895.43,,,04-28
29,603076,乐惠国际,0.22,,,3.25,,1237.71,,,04-28
30,603922,金鸿顺,0.31,,,5.79,,3020.61,,,04-28
31,603214,爱婴室,0.14,,,3.33,,1020.06,,,04-28
32,603809,豪能股份,0.45,,,4.46,,3567.11,,,04-28
33,603912,佳力图,0.2,66.67,,7.61,,2184.39,87.16,,04-28
34,603711,香飘飘,0.06,,,1.69,,2095.76,,,04-28
35,600901,江苏租赁,0.13,,,5.38,,29770.26,,,04-28
36,603363,傲农生物,0.07,,,4.86,,2354.39,,,04-28
37,603661,恒林股份,0.72,,,7.98,,5383.82,,,04-28
38,603043,广州酒家,0.08,,,2.8,,2685.28,,,04-28
39,603080,新疆火炬,0.22,,,5.06,,2304.74,,,04-28
40,603181,皇马科技,0.21,,,4.62,,3118.27,,,04-28
41,601086,国芳集团,0.09,,,3.72,,4473.96,,,04-28
42,603477,振静股份,0.06,,,2.53,,1110.31,,,04-28
43,002928,华夏航空,0.22,,,9.3,,7742.16,,,04-28
44,603655,朗博科技,0.09,,,2.6,,750.72,,,04-28
45,603890,春秋电子,0.3,,,6.91,,3069.41,,,04-28
46,603106,恒银金融,0.13,,,3.75,,2802.73,,,04-28
47,601619,嘉泽新能,0.02,,,1.39,,2889.83,,,04-28
48,603348,文灿股份,0.21,,,3.32,,3386.95,,,04-28
49,603383,顶点软件,0.02,,,0.28,,132.2,,,04-28
50,603127,昭衍新药,-0.11,,,-2.7,,-691.73,,,04-28
51,603602,纵横通信,0.01,,,0.27,,86.27,,,04-28
52,600933,爱柯迪,0.15,0.0,,5.55,,10564.1,1.99,,04-28
53,603535,嘉诚国际,0.18,,,2.79,,2072.12,,,04-27
54,300730,科创信息,-0.11,,,-4.24,,-735.53,,,04-27
55,603507,振江股份,0.28,,,4.99,,2678.02,,,04-27
56,002931,锋龙股份,0.16,,,5.95,,1066.5,,,04-27
57,603685,晨丰科技,0.33,,,7.08,,2501.6,,,04-27
58,603970,中农立华,0.17,,,4.93,,1743.27,,,04-27
59,002896,中大力德,0.17,,,3.73,,1037.33,,,04-27
60,002872,天圣制药,0.35,,,3.04,,5580.4,,,04-27
61,002878,元隆雅图,0.19,,,4.68,,1049.65,,,04-27
62,603506,南都物业,0.28,,,6.87,,1683.09,,,04-27
63,300699,光威复材,0.23,,,4.49,,6483.06,,,04-27
64,603871,嘉友国际,0.87,,,13.25,,5213.11,,,04-27
65,600903,贵州燃气,0.04,,,1.08,,2446.16,,,04-27
66,603721,中广天择,0.18,,,4.07,,1383.65,,,04-27
67,603110,东方材料,0.1,,,2.53,,798.98,,,04-27
68,603488,展鹏科技,0.07,,,2.56,,1048.95,,,04-27
69,603059,倍加洁,0.3,,,6.29,,1784.03,,,04-27
70,603161,科华控股,0.29,,,5.01,,2909.51,,,04-27
71,603396,金辰股份,0.29,,,4.55,,1637.62,,,04-27
72,300664,鹏鹞环保,0.12,,,2.4,,4857.66,,,04-27
73,300698,万马科技,0.04,,,2.42,,449.83,,,04-27
74,603619,中曼石油,0.3,,,8.0,,10656.04,,,04-27
75,300721,怡达股份,0.16,,,1.92,,947.35,,,04-27
76,603527,众源新材,0.17,,,4.14,,1596.05,,,04-27
77,002876,三利谱,0.34,,,4.46,,2050.6,,,04-27
78,300697,电工合金,0.14,,,4.19,,1671.0,,,04-27
79,603709,中源家居,0.17,,,7.54,,1009.83,,,04-27
80,603825,华扬联众,0.03,,,0.51,,327.5,,,04-27
81,002864,盘龙药业,0.11,,,2.08,,689.01,,,04-27
82,002886,沃特股份,0.15,,,2.45,,884.29,,,04-27
83,603648,畅联股份,0.2,,,6.16,,5512.64,,,04-27
84,601949,中国出版,-0.07,,,-1.72,,-9781.15,,,04-27
85,603733,仙鹤股份,0.14,,,3.89,,7876.65,,,04-27
86,603963,大理药业,0.24,,,8.29,,1834.19,,,04-27
87,603367,辰欣药业,0.14,,,2.21,,5123.68,,,04-27
88,300634,彩讯股份,0.03,,,1.69,,1211.75,,,04-27
89,300737,科顺股份,0.04,,,1.53,,1936.13,,,04-27
90,603136,天目湖,0.23,,,4.31,,1372.59,,,04-27
91,603976,正川股份,0.26,,,3.74,,2071.29,,,04-27
92,603380,易德龙,0.12,,,6.21,,1428.06,,,04-27
93,603535,嘉诚国际,0.18,,,2.79,,2072.12,,,04-27
94,300730,科创信息,-0.11,,,-4.24,,-735.53,,,04-27
95,300683,海特生物,0.4,,,4.34,,3088.97,,,04-26
96,300736,百华悦邦,0.27,,,5.38,,1082.62,,,04-26
97,603897,长城科技,0.24,,,4.97,,3154.89,,,04-26
98,603937,丽岛新材,0.13,,,2.83,,2009.54,,,04-26
99,300677,英科医疗,0.28,,,3.77,,2058.79,,,04-26
100,300711,广哈通信,-0.02,,,-1.17,,-302.48,,,04-26
101,300729,乐歌股份,0.24,,,4.47,,1541.09,,,04-26
102,603365,水星家纺,0.29,,,6.33,,5820.42,,,04-26
103,002930,宏川智慧,0.13,8.33,,2.17,,2432.4,15.92,,04-26
104,603712,七一二,-0.01,,,-0.4,,-579.26,,,04-26
105,300717,华信新材,0.21,,,3.74,,1000.23,,,04-26
106,300735,光弘科技,0.11,,,5.0,,3016.72,,,04-26
107,603880,南卫股份,0.15,,,4.48,,1157.98,,,04-26
108,603356,华菱精工,0.08,,,2.38,,794.48,,,04-26
109,603386,广东骏亚,0.07,,,4.0,,1079.28,,,04-26
110,300692,中环环保,0.09,,,1.7,,719.87,,,04-26
111,300710,万隆光电,0.11,,,1.86,,553.44,,,04-26
112,300727,润禾材料,0.05,,,1.85,,331.77,,,04-26
113,300733,西菱动力,0.19,,,4.29,,2264.22,,,04-26
114,603516,淳中科技,0.08,,,2.37,,578.38,,,04-26
115,002917,金奥博,0.12,,,4.08,,1042.66,,,04-26
116,601838,成都银行,0.26,,,3.84,-3.97,85648.3,,,04-26
117,300739,明阳电路,0.26,,,5.38,,2446.68,,,04-26
118,603321,梅轮电梯,0.03,,,1.2,,586.02,,,04-26
119,603329,上海雅仕,0.16,,,4.32,,1621.72,,,04-26
120,002930,宏川智慧,0.13,8.33,,2.17,,2432.4,15.92,,04-26
121,603880,南卫股份,0.15,,,4.48,,1157.98,,,04-26
122,300692,中环环保,0.09,,,1.7,,719.87,,,04-26
123,300710,万隆光电,0.11,,,1.86,,553.44,,,04-26
124,300727,润禾材料,0.05,,,1.85,,331.77,,,04-26
125,603356,华菱精工,0.08,,,2.38,,794.48,,,04-26
126,603386,广东骏亚,0.07,,,4.0,,1079.28,,,04-26
127,300733,西菱动力,0.19,,,4.29,,2264.22,,,04-26
128,601838,成都银行,0.26,,,3.84,-3.97,85648.3,,,04-26
129,300739,明阳电路,0.26,,,5.38,,2446.68,,,04-26
130,603516,淳中科技,0.08,,,2.37,,578.38,,,04-26
131,002917,金奥博,0.12,,,4.08,,1042.66,,,04-26
132,603321,梅轮电梯,0.03,,,1.2,,586.02,,,04-26
133,603679,华体科技,0.1,,,2.73,,732.07,,,04-26
134,603305,旭升股份,0.15,,,9.77,,5314.69,,,04-26
135,603329,上海雅仕,0.16,,,4.32,,1621.72,,,04-26
136,002892,科力尔,0.19,,,5.11,,1279.41,,,04-26
137,300702,天宇股份,0.35,-30.0,,5.05,,3114.81,-30.46,,04-26
138,603042,华脉科技,0.27,,,5.73,,2710.42,,,04-26
139,300725,药石科技,0.23,,,5.01,,1260.45,,,04-26
140,300743,天地数码,0.2,,,7.38,0.11,997.9,,,04-26
141,603056,德邦股份,-0.14,,,-4.76,,-11744.59,,,04-26
142,603856,东宏股份,0.11,,,1.87,,1599.04,,,04-26
143,002903,宇环数控,0.15,,,3.78,,1116.9,,,04-26
144,002921,联诚精密,0.23,,,3.34,,1404.14,,,04-26
145,002875,安奈儿,0.45,,,8.9,,3395.35,,,04-25
146,300689,澄天伟业,0.21,,,3.96,,1082.47,,,04-25
147,002920,德赛西威,0.48,,,15.5,,21528.7,,,04-25
148,603557,起步股份,0.07,,,2.95,,2892.42,,,04-25
149,300741,华宝股份,0.41,,,4.91,,22479.81,,,04-25
150,603676,卫信康,0.06,,,4.28,,2009.62,,,04-25
151,002889,东方嘉盛,0.52,,,6.72,,5351.25,,,04-25
152,002907,华森制药,0.06,-2.44,,4.58,,2163.94,-2.43,,04-25
153,002912,中新赛克,-0.15,,,-1.33,,-770.47,,,04-25
154,300705,九典制药,0.12,50.0,,3.09,,1014.6,51.09,,04-25
155,300722,新余国科,0.07,,,2.07,,449.17,,,04-25
156,300740,御家汇,0.2,,,6.39,,2448.76,,,04-25
157,603283,赛腾股份,-0.13,,,-5.0,,-1539.02,,,04-25
158,002883,中设股份,0.23,,,5.78,,917.45,,,04-25
159,002918,蒙娜丽莎,0.35,,,5.1,,4144.15,,,04-25
160,603612,索通发展,0.61,,,7.48,,10984.32,,,04-25
161,300716,国立科技,0.18,,,3.23,,1476.36,,,04-25
162,603895,天永智能,0.42,5.6,,10.11,,2445.74,4.4,,04-25
163,300703,创源文化,0.29,,,10.41,,1740.2,,,04-25
164,603196,日播时尚,0.07,,,2.61,,1279.9,,,04-25
165,300732,设研院,0.63,,,5.21,,3401.89,,,04-25
166,300713,英可瑞,0.32,,,6.18,,1377.75,,,04-24
167,603536,惠发股份,0.08,,,1.76,,724.25,,,04-24
168,603725,天安新材,0.06,,,1.7,,705.44,,,04-24
169,603055,台华新材,0.15,,,5.18,,7430.81,,,04-24
170,002902,铭普光磁,0.14,,,2.68,,1468.04,,,04-24
171,002926,华西证券,0.17,,,2.67,,34921.87,,,04-24
172,300700,岱勒新材,0.17,,,4.45,,1070.33,,,04-24
173,603829,洛凯股份,0.06,,,2.13,,677.76,,,04-24
174,300706,阿石创,0.18,,,5.04,,1048.5,,,04-24
175,300723,一品红,0.25,,,8.52,,2964.9,,,04-24
176,600929,湖南盐业,0.06,,,2.67,,4669.4,,,04-24
177,002919,名臣健康,0.17,,,3.49,,1020.89,,,04-24
178,603580,艾艾精工,0.1,,,2.41,,524.17,,,04-24
179,300709,精研科技,0.74,,,11.43,,4855.49,,,04-24
180,300713,英可瑞,0.32,,,6.18,,1377.75,,,04-24
181,002902,铭普光磁,0.14,,,2.68,,1468.04,,,04-24
182,603725,天安新材,0.06,,,1.7,,705.44,,,04-24
183,603055,台华新材,0.15,,,5.18,,7430.81,,,04-24
184,300712,永福股份,0.16,,,3.99,,1709.28,,,04-23
185,002913,奥士康,0.44,7.32,,3.48,,4740.31,7.26,,04-23
186,300718,长盛轴承,0.32,,,4.73,,2414.94,,,04-23
187,300655,晶瑞股份,0.1,,,2.21,,648.34,,,04-23
188,603083,剑桥科技,-0.17,,,-1.86,,-1245.28,,,04-23
189,002923,润都股份,0.25,,,4.52,,1842.32,,,04-23
190,300715,凯伦股份,0.15,,,5.29,,815.9,,,04-23
191,002898,赛隆药业,0.01,,,0.64,,133.85,,,04-23
192,002890,弘宇股份,0.28,,,4.72,,1410.02,,,04-21
193,002900,哈三联,0.16,,,3.0,,2464.75,,,04-21
194,300654,世纪天鸿,0.02,,,0.67,,166.27,,,04-21
195,002929,润建通信,0.19,,,3.31,,3178.86,,,04-21
196,002877,智能自控,0.06,,,3.28,,983.84,,,04-21
197,002916,深南电路,0.48,,,6.24,,10167.81,,,04-21
198,002880,卫光生物,0.43,,,6.62,,3468.2,,,04-21
199,002908,德生科技,0.06,,,1.58,,560.95,,,04-20
200,002925,盈趣科技,0.41,127.78,,20.01,,18690.51,331.48,,04-20
201,002911,佛燃股份,0.11,,,3.3,,5612.95,,,04-20
202,002905,金逸影视,0.18,,,2.54,,2221.32,,,04-20
203,002922,伊戈尔,0.18,28.57,,4.01,,1757.11,41.95,,04-20
204,300726,宏达电子,0.1,-38.13,,4.32,,3562.77,-35.78,,04-20
205,002910,庄园牧场,0.11,,,2.0,,1798.94,,,04-20
206,300708,聚灿光电,0.12,,,4.72,,2250.48,,,04-20
207,603466,风语筑,0.25,,,4.68,,2750.31,,,04-20
208,603500,祥和实业,0.12,,,3.01,,1104.76,,,04-20
209,002927,泰永长征,0.1,,,2.02,,707.56,,,04-20
210,002915,中欣氟材,0.04,-38.83,,1.12,,308.55,-33.26,,04-20
211,603499,翔港科技,0.16,,,4.5,,1187.87,,,04-18
212,603605,珀莱雅,0.36,,,9.18,,5395.79,,,04-18
213,300738,奥飞数据,0.31,,,7.0,,1506.91,,,04-18
214,300624,万兴科技,0.38,,,8.97,,2257.21,,,04-18
215,300690,双一科技,0.45,,,5.82,,2343.6,,,04-18
216,603707,健友股份,0.12,,,4.18,,5609.38,,,04-17
217,603103,横店影视,0.29,,,11.42,,11521.17,,,04-17
218,603278,大业股份,0.21,,,5.36,,3219.51,,,04-17
219,603773,沃格光电,0.69,,,8.88,0.63,4888.92,,,04-16
220,603156,养元饮品,1.04,,,8.28,,51595.95,,,04-14
221,300731,科创新源,0.24,,,7.78,,1559.23,,,04-13
222,603916,苏博特,0.15,,5.02,3.04,0.08,3431.9,,,10-23
223,603659,璞泰来,0.22,,2.92,7.68,0.06,7970.74,,,10-16
224,300707,威唐工业,0.24,-13.59,4.45,5.6,0.06,1427.78,-11.91,,09-20
225,603260,合盛硅业,0.45,,4.97,9.76,0.54,27129.6,,,09-19
226,002906,华阳集团,0.17,,5.88,2.85,,6866.98,,,09-18
227,603533,掌阅科技,0.1,,2.03,4.77,0.06,3568.97,,,08-30
