,code,name,mbrg,nprg,nav,targ,epsg,seg
491,600491,龙元建设,36.1087,83.5163,21.2189,37.8326,79.5143,13.7599
492,300260,新莱应材,13.0204,83.3128,2.7864,19.7398,-12.5,2.5175
493,002405,四维图新,23.3543,83.1578,-0.464,-15.8956,20.2505,2.9941
494,300046,台基股份,78.9259,82.5489,7.0542,0.9761,82.5503,7.0542
495,002137,麦达数字,39.7612,82.2603,6.0791,10.6549,97.1831,5.8646
496,002849,威星智能,74.4798,82.0221,10.526,22.9902,75.7979,9.4745
497,300101,振芯科技,-0.0378,81.4861,19.5151,28.3287,106.7265,11.4397
498,002036,联创电子,33.9721,81.1198,16.239,35.3232,100.0,16.8269
499,600559,老白干酒,6.1421,80.969,8.2839,3.1616,88.8889,8.2839
500,601999,出版传媒,22.4416,80.9138,6.9519,7.9864,50.0,6.851
501,300470,日机密封,39.7704,80.8137,12.3122,-1.9224,81.25,12.331
502,300604,长川科技,122.4624,80.3986,98.4989,113.2307,42.8571,98.4989
503,300058,蓝色光标,70.6175,80.3333,-18.2164,-6.3864,75.0,-15.8434
504,002507,涪陵榨菜,47.7197,80.3269,25.3164,20.3364,25.0,25.3164
505,603156,养元饮品,20.1193,80.2544,,,75.1799,
506,300190,维尔利,11.8327,79.791,28.9959,28.9268,37.5,29.7651
507,002173,创新医疗,23.6322,79.1113,4.0212,3.5926,50.0,4.0199
508,300654,世纪天鸿,10.4473,78.993,,,50.0,
509,300343,联创互联,44.8394,78.7735,10.3796,21.7533,25.0,7.8692
510,002712,思美传媒,99.1411,78.4507,43.9873,30.2271,47.3684,43.8489
511,002443,金洲管道,16.4986,78.4258,7.0721,1.2063,100.0,7.2717
512,600011,华能国际,15.1118,78.1563,1.3725,1.8771,100.0,3.8958
513,600638,新黄浦,-56.7033,77.8226,7.7589,-7.4404,-5.5556,15.6488
514,002340,格林美,80.0537,77.7884,8.0055,20.0822,33.3333,7.8478
515,600845,宝信软件,7.0453,77.6997,19.8111,31.0049,76.4151,19.562
516,300281,金明精机,21.1193,77.3183,64.9335,25.4125,0.0,65.0048
517,300323,华灿光电,40.1724,76.8413,15.0406,22.2874,70.0,15.0406
518,300383,光环新网,54.3271,76.5186,6.8573,19.0491,-16.6667,6.96
519,002772,众兴菌业,58.7446,76.4906,17.8411,34.8821,75.0362,17.8619
520,601677,明泰铝业,30.2859,76.4327,40.3341,40.8463,53.3333,42.7079
521,002851,麦格米特,48.2183,76.3802,13.8827,27.927,31.543,10.7993
522,000656,金科股份,15.3076,76.2389,2.3685,41.4446,0.0,0.9661
523,600428,中远海特,1.229,75.976,0.0326,-2.7354,80.0,0.5244
