,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
1633,002452,长高集团,-1.48,-5.12,22.6949,-19.7736,-0.0373,385.5108,0.7282
1634,300236,上海新阳,-1.48,-7.46,35.4823,-18.7619,-0.0968,251.3332,1.297
1635,002272,川润股份,-1.5,-7.02,16.3982,-17.4796,-0.0406,248.9577,0.5784
1636,600312,平高电气,-1.53,-4.98,11.3835,-130.7276,-0.0963,2619.9876,1.9308
1637,002723,金莱特,-1.56,-2.05,7.2158,-10.0467,-0.0538,487.9607,2.6136
1638,002813,路畅科技,-1.64,-2.73,19.6615,-10.5466,-0.0878,385.8374,3.2153
1639,002571,德力股份,-1.65,-6.54,17.5846,-24.8574,-0.0634,380.0135,0.9695
1640,600462,九有股份,-1.69,-0.29,2.5549,-4.9832,-0.0093,1672.8514,3.1339
1641,000962,东方钽业,-1.78,-3.75,10.5707,-19.454,-0.0441,517.5089,1.1739
1642,600844,丹化科技,-1.8,-6.16,14.2191,-37.6513,-0.037,610.4363,0.6005
1643,000779,三毛派神,-1.86,-3.73,13.6238,-5.4627,-0.0292,146.0785,0.7835
1644,300167,迪威迅,-1.95,-9.95,21.0298,-13.5914,-0.0452,136.5181,0.4546
1645,002476,宝莫股份,-1.97,-10.9,13.1642,-19.062,-0.0311,174.723,0.2854
1646,300330,华虹计通,-1.99,-10.87,22.6302,-7.5759,-0.045,69.6693,0.4146
1647,002134,天津普林,-2.03,-4.28,7.9046,-8.7381,-0.0355,203.9188,0.8294
1648,600156,华升股份,-2.06,-2.46,1.9896,-12.5663,-0.0312,510.3749,1.2692
1649,300608,思特奇,-2.1,-5.39,48.8199,-12.9765,-0.1222,240.7286,2.2685
1650,603389,亚振家居,-2.1,-9.02,56.4528,-17.8761,-0.0816,197.9963,0.9042
1651,600478,科力远,-2.12,-6.34,12.0159,-43.385,-0.0295,683.4595,0.465
1652,000536,华映科技,-2.23,-11.85,8.6826,-271.2374,-0.098,2288.8284,0.8274
1653,600532,宏达矿业,-2.29,-4.46,2.0042,-41.0785,-0.0795,919.1533,1.781
1654,002659,凯文教育,-2.4,-57.81,-22.8951,-51.6791,-0.1036,89.382,0.1792
1655,600517,置信电气,-2.47,-4.6,11.0929,-82.2953,-0.0606,1787.6142,1.3181
1656,600685,中船防务,-2.6,-3.58,0.9736,-294.9821,-0.2086,8219.9356,5.8152
1657,002190,成飞集成,-2.65,-6.28,6.8274,-53.4242,-0.1489,850.0613,2.3696
1658,002655,共达电声,-2.66,-3.31,24.1443,-12.1289,-0.0336,365.6016,1.0155
1659,002329,皇氏集团,-2.71,-7.25,28.0092,-72.578,-0.0866,999.9614,1.1937
1660,600128,弘业股份,-2.77,-1.59,6.0581,-36.691,-0.1486,2295.9456,9.304
1661,300096,易联众,-2.92,-7.99,46.4835,-20.5779,-0.0478,257.3033,0.5983
1662,000948,南天信息,-2.97,-4.21,20.6747,-41.9638,-0.1701,994.5455,4.0329
