,code,name,mbrg,nprg,nav,targ,epsg,seg
0,002305,南国置业,-17.0864,17811.7748,3.4643,9.3617,46.0317,-0.5457
1,300308,中际旭创,3902.9088,7884.9375,679.6306,1203.549,3250.0,679.6306
2,600227,圣济堂,81.9196,4364.0619,2.6458,-5.8091,4247.0588,2.6211
3,600740,山西焦化,31.3292,4038.5458,268.8929,71.7183,2781.1538,344.5379
4,600569,安阳钢铁,36.8022,3808.5876,39.9018,4.2917,3441.6667,53.5337
5,600781,辅仁药业,1083.5683,3687.7425,1050.5496,688.5106,1163.1579,1213.6331
6,000850,华茂股份,24.0561,3542.4695,-10.8793,-8.6703,900.0,-11.6071
7,000537,广宇发展,589.8318,3528.4675,236.5053,257.2666,1700.0,383.3205
8,000922,*ST佳电,38.4011,2640.1473,18.4783,5.1293,3000.0,18.4783
9,000877,天山股份,14.4082,2375.9114,22.2143,-7.2355,912.7586,24.4935
10,300423,鲁亿通,944.8439,1982.4277,465.2376,727.7893,766.6667,465.2376
11,002034,旺能环境,5.6774,1716.4202,299.9777,398.8571,500.0,302.9371
12,600784,鲁银投资,-1.0977,1435.8332,-11.0988,-16.0605,1200.0,-5.0089
13,601058,赛轮金宇,0.5939,1411.0852,39.6843,7.5215,1100.0,40.0704
14,002453,华软科技,4.2109,1057.4187,2.5295,39.8122,300.0,-0.2468
15,300272,开能健康,35.8521,1055.2768,-27.6293,-36.1492,672.2336,36.1141
16,600256,广汇能源,126.6797,1013.239,30.8452,7.0329,620.9524,30.1579
17,002428,云南锗业,15.827,1005.311,0.8726,-3.5537,200.0,0.9094
18,600321,*ST正源,150.9815,772.6361,0.0153,14.9181,530.0,-0.593
19,002579,中京电子,40.9705,739.023,22.6461,66.889,1000.0,4.1473
20,300427,红相股份,357.0955,666.3617,208.7075,255.4474,580.7921,216.1943
21,600262,北方股份,130.5175,660.993,18.4422,6.3098,224.2424,6.9535
22,600516,方大炭素,235.4234,655.3628,62.4446,54.2475,638.8147,57.6207
23,600246,万通地产,137.0754,655.1946,12.9482,0.5224,525.7028,8.51
24,002386,天原集团,43.9091,648.9154,0.4874,-3.0946,292.75,4.4582
25,002526,山东矿机,95.4172,646.3762,36.4058,25.1314,153.5714,38.3251
26,600725,ST云维,146.9285,599.3042,7.7338,3.3957,605.8824,7.7338
27,600810,神马股份,2.609,581.2002,22.2794,16.1909,681.8182,15.7703
28,300398,飞凯材料,198.2351,524.1805,155.4138,143.8874,414.2857,158.534
29,300123,亚光科技,112.7403,516.0098,297.1435,225.6726,190.625,299.3811
30,002208,合肥城建,4.2412,502.5034,16.0062,13.4813,441.433,14.4301
31,600777,新潮能源,1747.467,492.1005,156.892,281.9778,296.0396,156.892
32,002353,杰瑞股份,32.4844,490.105,2.0125,5.3479,533.3333,1.581
33,600686,金龙汽车,57.2334,468.7721,26.5187,22.5849,66.6667,11.7143
34,002240,威华股份,31.2952,450.2428,40.4873,27.4821,575.4717,47.289
35,300309,吉艾科技,4.0409,420.5399,27.2331,82.1002,483.3333,28.9465
36,601003,柳钢股份,18.2694,415.8043,58.2897,7.0325,415.6736,58.2897
37,600216,浙江医药,36.5094,414.6017,17.5558,14.5511,431.9149,10.7096
38,002761,多喜爱,32.1731,413.1775,8.3685,7.8415,100.0,5.3435
39,600780,通宝能源,25.5473,407.1059,4.3804,-2.42,377.6786,4.4505
40,002176,江特电机,63.4862,386.4698,15.3863,34.0321,425.0,13.6794
41,000753,漳州发展,-5.1335,381.712,3.5916,-5.2688,326.087,5.8595
42,002857,三晖电气,-24.9172,379.7078,7.7414,15.0797,233.3333,7.7414
43,300472,新元科技,81.6014,370.8478,214.6272,171.1688,200.0,207.9909
44,000042,中洲控股,82.4322,370.0453,25.14,25.0905,374.5606,17.3061
45,000935,四川双马,-19.8032,350.2343,-9.1687,-32.0653,475.7576,11.3439
46,002197,证通电子,-14.4044,342.9955,2.0986,12.5667,250.0,2.1832
47,002755,东方新星,46.3509,339.8157,14.1932,14.1203,91.3043,2.4903
48,601918,新集能源,35.5374,339.2728,21.2626,-1.3839,400.0,19.428
49,002637,赞宇科技,6.8434,320.8353,8.6409,20.8147,75.4545,4.5605
50,000818,航锦科技,22.3091,316.9261,17.2374,48.8726,296.376,14.4802
51,000589,黔轮胎A,7.0767,313.3568,-6.0989,4.767,300.0,-6.6355
52,603903,中持股份,191.3455,310.7523,18.6271,110.4205,259.2046,15.2799
53,603030,全筑股份,56.7986,300.3496,14.8483,43.7145,160.0,12.3254
54,300122,智飞生物,365.4207,297.2164,27.4505,70.0162,287.7273,27.4505
55,002490,山东墨龙,63.5619,286.3167,3.2715,9.5514,363.6364,4.2168
56,603636,南威软件,39.5794,279.6082,75.1142,60.8634,920.0,78.9314
57,000534,万泽股份,-94.1741,274.3591,7.9683,-5.8959,160.6742,9.1671
58,600782,新钢股份,11.4123,266.7999,64.0361,17.6158,230.2439,67.5512
59,300243,瑞丰高材,37.9049,266.4489,16.8163,3.8195,271.4286,16.8163
60,000505,京粮控股,824.1458,262.9846,3620.0437,462.3112,125.0,2525.8416
61,002430,杭氧股份,26.141,261.4056,37.6762,6.846,191.6667,40.3904
62,000636,风华高科,41.3782,257.625,7.6073,-1.5382,283.3333,7.3266
63,300132,青松股份,55.9796,256.1248,26.6062,56.2222,256.1502,26.6062
64,002378,章源钨业,-2.5669,255.5697,1.4808,3.9453,100.0,1.2157
65,002383,合众思壮,278.3399,254.3727,9.5013,58.7572,253.6443,9.7197
66,002001,新和成,78.3409,253.0219,89.2904,66.4574,77.7778,89.3938
67,300409,道氏技术,287.0427,250.4184,29.3511,55.3526,103.125,26.2561
68,300554,三超新材,145.4445,241.1422,30.025,45.5578,57.9125,30.025
69,600346,恒力股份,142.8664,240.6996,357.6674,364.6908,95.0,366.8116
70,300011,鼎汉技术,25.148,237.4875,16.4741,17.0939,220.625,16.2686
71,300434,金石东方,199.1587,234.6984,62.1253,4.8841,120.0,86.6806
72,002626,金达威,46.9713,234.5291,25.3822,17.2483,229.1667,25.9424
73,000759,中百集团,1.6049,233.0068,15.3906,3.8961,235.0,11.7927
74,002549,凯美特气,35.758,230.0943,0.2764,8.2263,227.8302,-0.4241
75,002535,林州重机,46.5002,226.8958,2.17,12.3774,174.0,0.5051
76,002478,常宝股份,65.7551,222.7594,50.6762,60.9682,162.5,43.3021
77,300226,上海钢联,39.8081,221.7048,106.4221,37.8206,165.2933,68.6931
78,300120,经纬辉开,190.4112,216.9908,170.9082,226.3574,76.2092,192.0732
79,002039,黔源电力,34.2979,216.7848,11.5637,-2.3962,197.1484,15.439
80,300223,北京君正,33.3754,213.6793,3.2428,2.9442,160.3524,3.2428
81,600805,悦达投资,36.0969,213.0845,-2.6172,6.5506,1080.0,-4.6505
82,300081,恒信东方,62.9687,211.7869,11.4784,15.0125,169.2308,11.7264
83,000830,鲁西化工,45.5532,211.4536,28.0776,13.685,241.8182,28.3207
84,002330,得利斯,40.2644,210.0867,0.6563,-0.1577,31.8182,0.7053
