,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
612,603289,泰瑞机器,2.8374,2.2387,77.2557,-1468.4536,70.5526,29.4474
613,603528,多伦科技,2.9354,2.2825,109.2959,-1935.8202,70.5154,29.4846
614,603990,麦迪科技,2.1224,2.0186,48.3084,792.2516,70.5045,29.4955
615,002787,华源控股,1.9691,1.3409,22.7109,1563.3144,70.4997,29.5003
616,002272,川润股份,2.5146,2.0985,67.2426,965.5954,70.4427,29.5573
617,002214,大立科技,3.1896,2.0748,19.5911,581.0629,70.4239,29.5761
618,603298,杭叉集团,2.5325,1.9648,54.7487,-8151.7712,70.383,29.617
619,603667,五洲新春,2.0929,1.055,14.5056,2321.8411,70.3725,29.6275
620,300745,欣锐科技,3.2539,2.7978,109.0542,-9437.0686,70.2943,29.7057
621,000513,丽珠集团,2.4478,2.182,147.4961,-618.3927,70.278,29.722
622,002922,伊戈尔,2.3281,1.781,47.2354,775.0422,70.2464,29.7536
623,603589,口子窖,2.4213,1.5575,41.9901,-28489.5294,70.2062,29.7938
624,000661,长春高新,2.5886,1.7926,52.3726,-18542.08,70.1806,29.8194
625,603969,银龙股份,2.598,2.1202,26.0578,1778.5939,70.1779,29.8221
626,002273,水晶光电,4.5704,3.9591,217.415,2060.4605,70.0858,29.9142
627,603679,华体科技,2.7218,2.4527,31.2515,81184.9805,70.0419,29.9581
628,002405,四维图新,1.5704,1.5427,99.2325,-1017.9704,70.0201,29.9799
629,603803,瑞斯康达,2.8136,2.1653,66.5948,692.2798,69.999,30.001
630,002853,皮阿诺,2.6469,2.2901,42.367,-8125.0326,69.918,30.082
631,000025,特力A,1.454,1.439,70.8908,1126.5379,69.9103,30.0897
632,300184,力源信息,1.9237,1.3536,21.3046,1188.0586,69.9086,30.0914
633,002915,中欣氟材,1.9349,1.5799,58.9718,771.8809,69.867,30.133
634,300199,翰宇药业,2.8411,2.6621,129.6274,25965.2306,69.8374,30.1626
635,002737,葵花药业,2.6362,1.7848,65.8956,-15298.8587,69.8139,30.1861
636,300732,设研院,3.3033,2.8043,53.6945,7226.5118,69.6978,30.3022
637,300721,怡达股份,2.0021,1.5205,38.3034,518.7539,69.6932,30.3068
638,300712,永福股份,2.6045,2.0898,42.1819,1566.5848,69.6674,30.3326
639,002395,双象股份,2.1483,1.2713,61.7776,-38781.9756,69.5955,30.4045
640,002774,快意电梯,2.933,2.4642,59.1486,-914.9705,69.5854,30.4146
641,002552,*ST宝鼎,1.2736,0.6409,8.1804,1140.8381,69.5683,30.4317
642,601086,国芳集团,1.5207,1.3884,92.1078,-5749.1877,69.5077,30.4923
643,002715,登云股份,1.8693,1.0599,28.006,539.9064,69.4968,30.5032
644,603701,德宏股份,2.6364,2.3651,33.3802,-51018.0083,69.4894,30.5106
645,002598,山东章鼓,2.5501,1.6201,12.2423,-4920.504,69.4698,30.5302
646,300373,扬杰科技,1.9546,1.6536,40.437,5527.842,69.4539,30.5461
647,300294,博雅生物,3.2405,2.6666,88.3257,10353.8912,69.4386,30.5614
648,002873,新天药业,2.2538,1.9881,52.8227,7450.3009,69.4347,30.5653
649,002297,博云新材,1.744,1.1304,27.401,300.5911,69.427,30.573
650,300121,阳谷华泰,2.4276,2.1316,82.8527,2769.2843,69.4244,30.5756
651,002143,印纪传媒,4.185,3.6436,13.995,190.6706,69.3863,30.6137
652,002755,东方新星,2.7873,2.6544,57.8206,-1263.3221,69.377,30.623
653,603421,鼎信通讯,3.7478,2.518,95.4378,3802.0478,69.3114,30.6886
654,002877,智能自控,2.6435,2.0147,14.0174,1284.353,69.2481,30.7519
655,002642,荣之联,2.3598,1.5129,25.485,173.01,69.247,30.753
656,600468,百利电气,2.4049,2.0133,84.9601,2434.1049,69.2433,30.7567
657,600101,明星电力,1.131,1.0531,95.5192,-4788.7614,69.2421,30.7579
658,300523,辰安科技,3.2107,2.3997,97.7731,13207.4336,69.238,30.762
659,600557,康缘药业,1.777,1.6523,16.3206,1061.899,69.205,30.795
660,300181,佐力药业,1.7236,1.2153,34.3645,503.1614,69.1307,30.8693
661,603660,苏州科达,2.807,1.7967,25.6799,-2902.9135,69.1153,30.8847
662,300052,中青宝,1.479,1.479,39.7568,-3039.2653,69.0631,30.9369
663,002108,沧州明珠,2.0269,1.6185,41.5003,914.7981,69.0502,30.9498
664,002912,中新赛克,2.8849,2.3705,169.2436,-591.317,68.9791,31.0209
665,600113,浙江东日,1.4009,1.3829,114.542,1773.0847,68.9261,31.0739
666,000731,四川美丰,1.5344,1.2694,95.287,676.9396,68.9021,31.0979
667,002029,七匹狼,2.1542,1.823,45.6204,-1482.1117,68.9,31.1
668,002618,丹邦科技,0.8291,0.6499,6.8233,169.3466,68.8992,31.1008
669,300263,隆华节能,1.8624,1.3846,40.0502,14771.2211,68.8894,31.1106
670,300505,川金诺,1.4621,0.7471,22.6794,649.9494,68.8559,31.1441
671,603333,明星电缆,2.2631,2.0112,25.2889,444.9659,68.8394,31.1606
672,300538,同益股份,2.9759,2.4943,55.8535,731.4729,68.8259,31.1741
673,603689,皖天然气,1.4731,1.4245,95.8293,2392.7162,68.8221,31.1779
674,300514,友讯达,3.066,2.3483,81.4328,-1045.4554,68.7922,31.2078
675,603303,得邦照明,2.5735,1.9679,59.3221,-318.9056,68.7476,31.2524
676,603330,上海天洋,2.3163,1.7601,57.9089,1346.318,68.7345,31.2655
677,000818,航锦科技,0.8957,0.7111,7.0272,3047.5365,68.7321,31.2679
678,603916,苏博特,2.0477,1.8208,13.6765,1450.8871,68.6826,31.3174
679,002696,百洋股份,1.4091,1.1768,59.8531,998.5689,68.6497,31.3503
680,603188,ST亚邦,1.2284,0.779,8.6756,1326.2408,68.6431,31.3569
681,600070,浙江富润,2.031,1.4985,23.911,2374.3491,68.5978,31.4022
682,002134,天津普林,1.7002,1.2858,21.9229,-1292.3489,68.5499,31.4501
683,002703,浙江世宝,2.0429,1.5462,35.113,3145.1051,68.4976,31.5024
684,300391,康跃科技,1.6757,1.3013,43.7485,1060.9758,68.4636,31.5364
685,002240,威华股份,1.3301,0.4756,10.1914,473.3888,68.4614,31.5386
686,000705,浙江震元,1.8598,1.1817,18.8043,-1296.6891,68.4174,31.5826
687,002533,金杯电工,2.1658,1.4545,16.37,-4667.5905,68.3864,31.6136
688,002657,中科金财,2.3782,1.8888,31.4909,627.0829,68.3786,31.6214
689,002479,富春环保,0.9323,0.8391,46.1678,763.2797,68.2497,31.7503
690,300120,经纬辉开,1.6243,1.2978,41.2418,747.5394,68.2438,31.7562
691,002661,克明面业,1.695,1.4634,32.8199,1502.3396,68.2375,31.7625
692,603313,梦百合,1.8292,1.3582,60.3607,1224.1733,68.2348,31.7652
693,600695,绿庭投资,1.8289,1.8289,111.4236,-26.1446,68.2188,31.7812
694,300239,东宝生物,1.3466,0.7704,29.0234,1951.4463,68.2173,31.7827
695,300649,杭州园林,1.8407,1.8407,13.1582,-33039.7179,68.208,31.792
696,002559,亚威股份,2.277,1.5564,61.2476,-3366.0418,68.2068,31.7932
697,600076,康欣新材,1.9008,0.6522,8.5085,1314.3088,68.1982,31.8018
698,600479,千金药业,2.5677,2.1257,39.6101,-1311.7797,68.175,31.825
699,002242,九阳股份,2.0825,1.7453,26.9828,-24271.5627,68.1559,31.8441
700,603223,恒通股份,1.6217,1.5707,35.9281,1818.4521,68.1558,31.8442
701,300558,贝达药业,0.8957,0.6773,35.181,1090.5009,68.1346,31.8654
702,002520,日发精机,2.5042,1.5151,98.0017,-6302.1567,68.1188,31.8812
703,603713,密尔克卫,2.0688,2.0024,27.9928,1971.6848,68.1126,31.8874
704,002443,金洲管道,2.4118,1.3779,29.8121,691.8002,68.0886,31.9114
705,300110,华仁药业,1.7504,1.5472,62.9678,190.4629,67.9891,32.0109
706,002581,未名医药,4.8648,4.7749,333.1276,159.2811,67.9804,32.0196
707,002913,奥士康,2.1948,1.937,27.9406,-2844.4513,67.9674,32.0326
708,300654,世纪天鸿,2.6431,2.1894,44.2052,-2129.7797,67.9202,32.0798
709,300723,一品红,4.1482,3.8581,160.6879,1323.3658,67.8866,32.1134
710,300498,温氏股份,1.5413,0.4635,10.9261,40724.6006,67.8521,32.1479
711,002709,天赐材料,1.9157,1.5573,46.8781,3111.742,67.8032,32.1968
712,002659,凯文教育,0.3229,0.3228,16.1517,-610.9785,67.7731,32.2269
713,300727,润禾材料,2.2516,1.7839,33.5037,4523.8687,67.7309,32.2691
714,300684,中石科技,2.0399,1.5545,92.154,1216.1155,67.7174,32.2826
715,002538,司尔特,2.2133,1.5108,58.5944,896.719,67.6969,32.3031
716,600579,天华院,2.4061,1.6263,23.8838,1355.9758,67.6762,32.3238
717,002920,德赛西威,3.0285,2.5304,23.6845,8201.356,67.648,32.352
718,603089,正裕工业,2.2643,1.8598,62.4339,-908.3585,67.6209,32.3791
719,600329,中新药业,2.1283,1.5935,56.19,25156.8736,67.6031,32.3969
720,603357,设计总院,2.8448,2.8443,77.325,-10697.1906,67.4504,32.5496
721,300398,飞凯材料,1.4299,1.1216,38.1702,2088.1614,67.4312,32.5688
722,002588,史丹利,1.6476,0.9914,32.5595,2506.4901,67.4043,32.5957
723,002708,光洋股份,1.5552,1.0509,15.5298,248.915,67.4012,32.5988
724,002478,常宝股份,1.7765,1.3845,71.0683,-1310.9722,67.3805,32.6195
725,300012,华测检测,1.4744,1.4551,40.8064,909.8248,67.3011,32.6989
726,603638,艾迪精密,1.4229,0.776,29.3483,3876.095,67.283,32.717
727,600845,宝信软件,2.6127,2.3418,133.0264,-4245.983,67.1447,32.8553
728,002296,辉煌科技,2.8501,2.4261,65.5424,514.8081,67.1434,32.8566
729,300159,新研股份,1.6953,1.359,25.7855,672.2349,67.0573,32.9427
730,300427,红相股份,2.1228,1.8966,27.0926,1712.432,67.0239,32.9761
731,600330,天通股份,1.6096,1.2049,39.4631,1375.5189,66.9483,33.0517
732,603636,南威软件,2.0839,1.5124,20.8919,2103.8779,66.9338,33.0662
733,002483,润邦股份,2.0835,0.999,44.7693,2314.3601,66.9234,33.0766
734,603567,珍宝岛,2.219,1.4664,77.41,1216.0872,66.892,33.108
735,000538,云南白药,3.4515,2.2953,45.5353,2724.5217,66.874,33.126
736,300627,华测导航,3.0762,2.6168,76.9221,-1478.9199,66.8691,33.1309
737,603321,梅轮电梯,2.3128,2.128,16.4149,-3898.8852,66.8551,33.1449
738,300525,博思软件,2.0529,1.9622,74.7287,2206.8491,66.7899,33.2101
739,002064,华峰氨纶,1.8752,1.3315,20.4955,1039.6032,66.7474,33.2526
740,601700,风范股份,1.945,1.3901,36.2568,335.164,66.7228,33.2772
741,300549,优德精密,2.353,2.0564,52.5154,4640.9222,66.7151,33.2849
742,300602,飞荣达,4.1053,3.5506,199.8519,-2743.9534,66.6901,33.3099
743,600794,保税科技,2.0759,1.9028,57.8326,325.7363,66.6642,33.3358
744,600866,星湖科技,1.394,0.7103,23.3634,311.3357,66.6631,33.3369
745,002498,汉缆股份,2.3447,1.7855,13.6395,2578.7282,66.6079,33.3921
746,300123,亚光科技,1.4485,1.0619,15.7357,671.6982,66.5885,33.4115
747,603880,南卫股份,2.3683,1.9707,87.9866,-2171.5693,66.5513,33.4487
748,300484,蓝海华腾,2.5573,2.1475,48.1688,1297.0689,66.517,33.483
749,600379,宝光股份,2.2675,1.604,42.1369,1580.4442,66.5127,33.4873
750,000895,双汇发展,1.2541,0.6719,54.6299,11494.0294,66.4909,33.5091
751,002028,思源电气,2.5641,2.0445,70.0706,-1736.6715,66.4154,33.5846
752,603326,我乐家居,1.491,1.2921,68.9717,-23357.075,66.4058,33.5942
753,002648,卫星石化,1.5293,1.316,48.9537,1371.7202,66.3669,33.6331
754,002025,航天电器,2.6895,2.3823,44.6075,-1876.0312,66.3562,33.6438
755,603899,晨光文具,2.093,1.4905,26.9758,-10933.9548,66.329,33.671
756,300024,机器人,2.9146,1.6885,63.7263,2610.4393,66.2257,33.7743
757,600885,宏发股份,1.8195,1.3661,18.8632,3989.6734,66.1919,33.8081
758,600449,宁夏建材,1.3282,1.1601,39.9786,1005.9344,66.1879,33.8121
759,300463,迈克生物,2.4004,1.8195,24.7576,1696.1691,66.1658,33.8342
760,002891,中宠股份,1.755,1.1562,45.2547,-3392.1894,66.0596,33.9404
761,601069,西部黄金,1.0878,0.5821,44.8589,-22.0104,65.998,34.002
762,603348,文灿股份,1.894,1.5972,88.2462,406.7149,65.9384,34.0616
763,600618,氯碱化工,1.1667,1.1002,42.7537,4558.5926,65.937,34.063
764,002772,众兴菌业,6.5798,6.1993,175.7304,-4722.9783,65.8753,34.1247
765,300697,电工合金,2.4972,1.9849,32.2762,748.8822,65.866,34.134
766,000545,金浦钛业,1.6451,1.369,91.4814,1222.0186,65.7956,34.2044
767,300562,乐心医疗,1.871,1.5936,69.7206,4380.5853,65.7784,34.2216
768,002675,东诚药业,1.5116,1.1151,29.2704,858.2422,65.7563,34.2437
769,002606,大连电瓷,2.1761,1.5508,18.4168,121.9778,65.7454,34.2546
770,600249,两面针,1.0513,0.5645,11.1383,-37.9657,65.7447,34.2553
771,603536,惠发股份,1.1726,0.6688,15.197,400.003,65.7029,34.2971
772,002206,海利得,1.3202,0.9381,36.0476,14000.3775,65.6849,34.3151
773,300037,新宙邦,1.7182,1.4362,28.167,1273.3753,65.6742,34.3258
774,300410,正业科技,1.7248,1.2557,16.9092,1714.6048,65.6213,34.3787
775,002154,报喜鸟,1.2,0.6787,13.6418,746.3201,65.5783,34.4217
776,603055,台华新材,1.6248,0.9633,44.4385,4301.6749,65.5306,34.4694
777,600566,济川药业,2.1588,2.0444,59.2363,17076.2992,65.4789,34.5211
778,002565,顺灏股份,2.0398,1.3409,54.8899,451.6932,65.4307,34.5693
779,000713,丰乐种业,1.7002,0.6017,12.7421,288.9689,65.4032,34.5968
