rank2018,rank2017,name,income,profit,code,market,note,note2
465,466,宜宾天原集团股份有限公司,15286,103,0000,,,
466,--,中国国际金融股份有限公司,15270,2766,0000,,,
467,474,北京蓝色光标品牌管理顾问股份有限公司,15231,222,0000,,,
468,--,北京东方园林环境股份有限公司,15226,2178,0000,,,
469,385,中百控股集团股份有限公司,15206,68,0000,,,
470,--,湖北凯乐科技股份有限公司,15138,740,0000,,,
471,484,合力泰科技股份有限公司,15111,1179,0000,,,
472,470,浙江龙盛集团股份有限公司,15101,2474,0000,,,
473,496,中建西部建设股份有限公司,14920,106,0000,,,
474,442,中国生物制药有限公司,14819,2171,0000,,,
475,465,宁波华翔电子股份有限公司,14807,798,0000,,,
476,433,宁波建工股份有限公司,14746,214,0000,,,
477,--,万邦德新材股份有限公司,14635,98,0000,,,
478,468,佛山市海天调味食品股份有限公司,14584,3531,0000,,,
479,340,延长石油国际有限公司,14490,-57,0000,,,
480,479,协鑫集成科技股份有限公司,14447,24,0000,,,
481,421,天津港发展控股有限公司,14401,671,0000,,,
482,416,中国西电电气股份有限公司,14391,899,0000,,,
483,--,云南城投置业股份有限公司,14391,264,0000,,,
484,--,安徽辉隆农资集团股份有限公司,14329,137,0000,,,
485,--,嘉事堂药业股份有限公司,14239,264,0000,,,
486,403,北京京能清洁能源电力股份有限公司,14227,1774,0000,,,
487,396,深圳长城开发科技股份有限公司,14210,541,0000,,,
488,--,厦门钨业股份有限公司,14188,618,0000,,,
489,417,哈尔滨银行股份有限公司,14134,5249,0000,,,
490,430,杭州银行股份有限公司,14122,4550,0000,,,
491,--,欣旺达电子股份有限公司,14045,544,0000,,,
492,492,北京城建投资发展股份有限公司,14043,1456,0000,,,
493,332,中粮地产（集团）股份有限公司,14042,945,0000,,,
494,--,跨境通宝电子商务股份有限公司,14018,751,0000,,,
495,--,辽宁成大股份有限公司,13999,1446,0000,,,
496,453,长春欧亚集团股份有限公司,13981,305,0000,,,
497,--,方大特钢科技股份有限公司,13945,2540,0000,,,
498,--,山东玲珑轮胎股份有限公司,13918,1048,0000,,,
499,--,建业地产股份有限公司,13879,811,0000,,,
500,473,山东步长制药股份有限公司,13864,1638,0000,,,
