rank2018,rank2017,name,income,profit,code,market,note,note2
107,144,马鞍山钢铁股份有限公司,73228,4129,0000,,,
108,115,唯品会控股有限公司,72912,1950,0000,,,
109,149,中国外运股份有限公司,72567,2304,0000,,,
110,119,龙湖地产有限公司,72075,12599,0000,,,
111,138,广州汽车集团股份有限公司,71575,10786,0000,,,
112,85,国美零售控股有限公司,71575,-450,0000,,,
113,112,顺丰控股股份有限公司,71094,4771,0000,,,
114,152,荣盛石化股份有限公司,70531,2001,0000,,,
115,97,庞大汽贸集团股份有限公司,70485,212,0000,,,
116,106,世茂房地产控股有限公司,70426,7840,0000,,,
117,110,深圳市怡亚通供应链股份有限公司,68515,595,0000,,,
118,104,内蒙古伊利实业集团股份有限公司,68058,6001,0000,,,
119,113,山西太钢不锈钢股份有限公司,67790,4622,0000,,,
120,98,华夏银行股份有限公司,66384,19819,0000,,,
121,179,融创中国控股有限公司,65874,11004,0000,,,
122,108,大唐国际发电股份有限公司,64608,1712,0000,,,
123,197,恒逸石化股份有限公司,64284,1622,0000,,,
124,146,北京金隅集团股份有限公司,63678,2837,0000,,,
125,114,华润电力控股有限公司,63517,4006,0000,,,
126,102,新希望六和股份有限公司,62567,2280,0000,,,
127,163,中化国际（控股）股份有限公司,62466,648,0000,,,
128,164,神州数码集团股份有限公司,62216,723,0000,,,
129,127,深圳市飞马国际供应链股份有限公司,61384,306,0000,,,
130,166,贵州茅台酒股份有限公司,61063,27079,0000,,,
131,156,北京首钢股份有限公司,60250,2211,0000,,,
132,121,中国蒙牛乳业有限公司,60156,2048,0000,,,
133,162,海南航空控股股份有限公司,59904,3323,0000,,,
134,109,国电电力发展股份有限公司,59833,2223,0000,,,
135,120,华夏幸福基业股份有限公司,59635,8781,0000,,,
136,122,广州富力地产股份有限公司,59278,21186,0000,,,
137,161,五矿发展股份有限公司,59022,35,0000,,,
138,140,永辉超市股份有限公司,58591,1817,0000,,,
139,124,中国化学工程股份有限公司,58571,1557,0000,,,
140,107,云南铜业股份有限公司,57323,227,0000,,,
141,143,深圳市爱施德股份有限公司,56736,379,0000,,,
142,116,白银有色集团股份有限公司,56634,239,0000,,,
143,125,云南云天化股份有限公司,55971,202,0000,,,
144,105,广东温氏食品集团股份有限公司,55657,6751,0000,,,
145,153,大秦铁路股份有限公司,55637,13350,0000,,,
146,195,中国重汽（香港）有限公司,55458,3023,0000,,,
147,131,中国石油集团工程股份有限公司,55364,670,0000,,,
148,173,网易公司,54102,10708,0000,,,
149,206,内蒙古包钢钢联股份有限公司,53684,2061,0000,,,
150,--,天茂实业集团股份有限公司,53406,1326,0000,,,
151,211,万华化学集团股份有限公司,53123,11135,0000,,,
152,151,北汽福田汽车股份有限公司,51710,112,0000,,,
153,150,雅居乐集团控股有限公司,51607,6025,0000,,,
154,170,浙江浙能电力股份有限公司,51191,4334,0000,,,
155,134,山东黄金矿业股份有限公司,51041,1137,0000,,,
156,192,陕西煤业股份有限公司,50927,10449,0000,,,
157,147,北京银行股份有限公司,50353,18733,0000,,,
158,132,国机汽车股份有限公司,50240,670,0000,,,
159,142,中国长江电力股份有限公司,50147,22261,0000,,,
160,165,厦门信达股份有限公司,50018,69,0000,,,
161,209,新余钢铁股份有限公司,49967,3111,0000,,,
162,145,北京控股有限公司,49825,5961,0000,,,
163,126,安徽江淮汽车集团股份有限公司,49203,432,0000,,,
164,155,中石化石油工程技术服务股份有限公司,48486,-10583,0000,,,
165,194,浙商中拓集团股份有限公司,48407,173,0000,,,
166,186,新奥能源控股有限公司,48269,2802,0000,,,
167,136,山东钢铁股份有限公司,47898,1924,0000,,,
168,148,上海百联集团股份有限公司,47181,847,0000,,,
169,183,远洋集团控股有限公司,45837,5115,0000,,,
170,182,玖龙纸业（控股）有限公司,45679,6798,0000,,,
171,196,中国广核电力股份有限公司,45616,9500,0000,,,
172,158,中国核工业建设股份有限公司,45486,853,0000,,,
173,154,重庆建工集团股份有限公司,45050,363,0000,,,
174,168,大昌行集团有限公司,43758,695,0000,,,
175,160,上海华谊集团股份有限公司,43739,619,0000,,,
176,--,中信证券股份有限公司,43292,11433,0000,,,
177,178,深圳华侨城股份有限公司,42341,8643,0000,,,
178,219,绿城中国控股有限公司,41953,1662,0000,,,
179,200,杭州海康威视数字技术股份有限公司,41905,9411,0000,,,
180,238,柳州钢铁股份有限公司,41557,2646,0000,,,
181,241,中国东方集团控股有限公司,41353,4839,0000,,,
182,128,新兴铸管股份有限公司,41266,1093,0000,,,
183,--,河北建设集团股份有限公司,41177,1026,0000,,,
184,261,新疆中泰化学股份有限公司,41059,2402,0000,,,
185,180,甘肃酒钢集团宏兴钢铁股份有限公司,40987,421,0000,,,
186,141,山煤国际能源集团股份有限公司,40937,381,0000,,,
187,223,新城发展控股有限公司,40820,3794,0000,,,
188,215,本钢板材股份有限公司,40508,1600,0000,,,
189,181,老凤祥股份有限公司,39810,1136,0000,,,
190,188,天音通信控股股份有限公司,39628,234,0000,,,
191,229,紫光股份有限公司,39071,1575,0000,,,
192,129,中国船舶重工股份有限公司,38776,838,0000,,,
193,207,荣盛房地产发展股份有限公司,38704,5761,0000,,,
194,263,三一重工股份有限公司,38335,2092,0000,,,
195,167,特变电工股份有限公司,38281,2196,0000,,,
196,176,创维数码控股有限公司,38159,-21,0000,,,
197,118,金地（集团）股份有限公司,37662,6843,0000,,,
198,286,瑞茂通供应链管理股份有限公司,37497,715,0000,,,
199,203,上海国际港务（集团）股份有限公司,37424,11536,0000,,,
200,199,江苏汇鸿国际集团股份有限公司,36800,737,0000,,,
201,213,北京首都开发股份有限公司,36678,2363,0000,,,
202,193,中航国际控股股份有限公司,36582,380,0000,,,
203,169,中石化炼化工程(集团)股份有限公司,36209,1130,0000,,,
204,253,中铝国际工程股份有限公司,36065,617,0000,,,
205,256,渤海金控投资股份有限公司,35934,2630,0000,,,
206,269,内蒙古伊泰煤炭股份有限公司,35897,4925,0000,,,
207,202,中国正通汽车服务控股有限公司,35474,1191,0000,,,
208,497,安徽水利开发股份有限公司,35457,781,0000,,,
209,198,金科地产集团股份有限公司,34758,2005,0000,,,
210,214,江苏国泰国际集团国贸股份有限公司,34549,774,0000,,,
211,224,华润燃气控股有限公司,34515,3166,0000,,,
212,216,中国铁路通信信号股份有限公司,34434,3310,0000,,,
213,190,云南锡业股份有限公司,34410,706,0000,,,
214,259,中国燃气控股有限公司,34386,5069,0000,,,
215,189,浙商银行股份有限公司,34264,10950,0000,,,
216,204,江苏银行股份有限公司,33839,11875,0000,,,
217,234,欧菲科技股份有限公司,33791,1010,0000,,,
218,218,北方华锦化学工业股份有限公司,33714,1845,0000,,,
219,212,中国核能电力股份有限公司,33590,4498,0000,,,
220,172,中国大冶有色金属矿业有限公司,33529,-97,0000,,,
221,235,海信科龙电器股份有限公司,33488,1998,0000,,,
222,177,郑州宇通客车股份有限公司,33222,3129,0000,,,
223,310,阳光城集团股份有限公司,33163,2062,0000,,,
224,185,上海银行股份有限公司,33125,15329,0000,,,
225,201,青岛海信电器股份有限公司,33009,942,0000,,,
